l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],122,1.620744,0.923077,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.95578231292517; 'recall': 0.972318339100346; 'f1-score': 0.9639794168096055; 'support': 289}; '1.0': {'precision': 0.9518072289156626; 'recall': 0.9239766081871345; 'f1-score': 0.9376854599406528; 'support': 171}; 'accuracy': 0.9543478260869566; 'macro avg': {'precision': 0.9537947709204163; 'recall': 0.9481474736437403; 'f1-score': 0.9508324383751292; 'support': 460}; 'weighted avg': {'precision': 0.9543046186520706; 'recall': 0.9543478260869566; 'f1-score': 0.9542049241474514; 'support': 460}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.85; 'f1-score': 0.8947368421052632; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9281045751633987; 'recall': 0.909375; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.924333836098542; 'recall': 0.9230769230769231; 'f1-score': 0.9222181327444485; 'support': 52}}
l: 5,1,CNF,1,460,52,1,[460; 460],122,1.854874,0.942308,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9556313993174061; 'recall': 0.9722222222222222; 'f1-score': 0.9638554216867469; 'support': 288}; '1.0': {'precision': 0.9520958083832335; 'recall': 0.9244186046511628; 'f1-score': 0.9380530973451326; 'support': 172}; 'accuracy': 0.9543478260869566; 'macro avg': {'precision': 0.9538636038503199; 'recall': 0.9483204134366925; 'f1-score': 0.9509542595159397; 'support': 460}; 'weighted avg': {'precision': 0.9543093957507156; 'recall': 0.9543478260869566; 'f1-score': 0.9542075960633608; 'support': 460}},{'0.0': {'precision': 0.96875; 'recall': 0.9393939393939394; 'f1-score': 0.9538461538461539; 'support': 33}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9423076923076923; 'macro avg': {'precision': 0.934375; 'recall': 0.9433811802232854; 'f1-score': 0.9384615384615385; 'support': 52}; 'weighted avg': {'precision': 0.9436298076923078; 'recall': 0.9423076923076923; 'f1-score': 0.9426035502958581; 'support': 52}}
l: 5,1,CNF,2,461,51,1,[461; 461],122,2.058543,0.921569,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9621993127147767; 'recall': 0.9688581314878892; 'f1-score': 0.9655172413793104; 'support': 289}; '1.0': {'precision': 0.9470588235294117; 'recall': 0.936046511627907; 'f1-score': 0.9415204678362572; 'support': 172}; 'accuracy': 0.9566160520607375; 'macro avg': {'precision': 0.9546290681220941; 'recall': 0.9524523215578982; 'f1-score': 0.9535188546077837; 'support': 461}; 'weighted avg': {'precision': 0.9565503666412782; 'recall': 0.9566160520607375; 'f1-score': 0.9565639983220323; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,3,461,51,1,[461; 461],122,1.691902,0.941176,3,[X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.142350],{'0.0': {'precision': 0.9750889679715302; 'recall': 0.9480968858131488; 'f1-score': 0.9614035087719298; 'support': 289}; '1.0': {'precision': 0.9166666666666666; 'recall': 0.9593023255813954; 'f1-score': 0.9375; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9458778173190985; 'recall': 0.9536996056972721; 'f1-score': 0.9494517543859649; 'support': 461}; 'weighted avg': {'precision': 0.953291493298132; 'recall': 0.9522776572668112; 'f1-score': 0.9524850629828366; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.90625; 'f1-score': 0.9508196721311475; 'support': 32}; '1.0': {'precision': 0.8636363636363636; 'recall': 1.0; 'f1-score': 0.9268292682926829; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9318181818181819; 'recall': 0.953125; 'f1-score': 0.9388244702119152; 'support': 51}; 'weighted avg': {'precision': 0.9491978609625668; 'recall': 0.9411764705882353; 'f1-score': 0.9418820707011313; 'support': 51}}
l: 5,1,CNF,4,461,51,1,[461; 461],122,1.500203,0.882353,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X13 >= 53.780000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9591836734693877; 'recall': 0.9757785467128027; 'f1-score': 0.967409948542024; 'support': 289}; '1.0': {'precision': 0.9580838323353293; 'recall': 0.9302325581395349; 'f1-score': 0.943952802359882; 'support': 172}; 'accuracy': 0.9587852494577006; 'macro avg': {'precision': 0.9586337529023585; 'recall': 0.9530055524261688; 'f1-score': 0.955681375450953; 'support': 461}; 'weighted avg': {'precision': 0.9587733205950754; 'recall': 0.9587852494577006; 'f1-score': 0.9586580415066044; 'support': 461}},{'0.0': {'precision': 0.9333333333333333; 'recall': 0.875; 'f1-score': 0.9032258064516129; 'support': 32}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.8947368421052632; 'f1-score': 0.8500000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8714285714285714; 'recall': 0.8848684210526316; 'f1-score': 0.8766129032258065; 'support': 51}; 'weighted avg': {'precision': 0.8872082166199813; 'recall': 0.8823529411764706; 'f1-score': 0.8833965844402277; 'support': 51}}
l: 5,1,CNF,5,461,51,1,[461; 461],122,3.009031,0.960784,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9587628865979382; 'recall': 0.9653979238754326; 'f1-score': 0.9620689655172414; 'support': 289}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.9302325581395349; 'f1-score': 0.935672514619883; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9499696785930867; 'recall': 0.9478152410074837; 'f1-score': 0.9488707400685622; 'support': 461}; 'weighted avg': {'precision': 0.952201360451151; 'recall': 0.9522776572668112; 'f1-score': 0.9522203981542358; 'support': 461}},{'0.0': {'precision': 0.96875; 'recall': 0.96875; 'f1-score': 0.96875; 'support': 32}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9580592105263157; 'recall': 0.9580592105263157; 'f1-score': 0.9580592105263157; 'support': 51}; 'weighted avg': {'precision': 0.9607843137254902; 'recall': 0.9607843137254902; 'f1-score': 0.9607843137254902; 'support': 51}}
l: 5,1,CNF,6,461,51,1,[461; 461],122,2.282016,0.941176,2,[X3 >= 696.250000 OR X27 >= 0.142350],{'0.0': {'precision': 0.974910394265233; 'recall': 0.9411764705882353; 'f1-score': 0.9577464788732394; 'support': 289}; '1.0': {'precision': 0.9065934065934066; 'recall': 0.9593023255813954; 'f1-score': 0.9322033898305084; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9407519004293198; 'recall': 0.9502393980848154; 'f1-score': 0.9449749343518739; 'support': 461}; 'weighted avg': {'precision': 0.9494211927911459; 'recall': 0.9479392624728851; 'f1-score': 0.9482163024841945; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
l: 5,1,CNF,7,461,51,1,[461; 461],122,1.604965,0.941176,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9620689655172414; 'recall': 0.9653979238754326; 'f1-score': 0.9637305699481865; 'support': 289}; '1.0': {'precision': 0.9415204678362573; 'recall': 0.936046511627907; 'f1-score': 0.9387755102040817; 'support': 172}; 'accuracy': 0.9544468546637744; 'macro avg': {'precision': 0.9517947166767493; 'recall': 0.9507222177516698; 'f1-score': 0.9512530400761341; 'support': 461}; 'weighted avg': {'precision': 0.9544022809160934; 'recall': 0.9544468546637744; 'f1-score': 0.9544197884384554; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,8,461,51,1,[461; 461],122,2.114361,0.921569,4,[X2 >= 98.755000 OR X7 >= 0.079005 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.958904109589041; 'recall': 0.9688581314878892; 'f1-score': 0.9638554216867469; 'support': 289}; '1.0': {'precision': 0.9467455621301775; 'recall': 0.9302325581395349; 'f1-score': 0.9384164222873901; 'support': 172}; 'accuracy': 0.9544468546637744; 'macro avg': {'precision': 0.9528248358596092; 'recall': 0.9495453448137121; 'f1-score': 0.9511359219870685; 'support': 461}; 'weighted avg': {'precision': 0.9543677317952783; 'recall': 0.9544468546637744; 'f1-score': 0.9543640813468568; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,9,461,51,1,[461; 461],122,2.222049,0.960784,3,[X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.142350],{'0.0': {'precision': 0.975; 'recall': 0.9446366782006921; 'f1-score': 0.9595782073813708; 'support': 289}; '1.0': {'precision': 0.9116022099447514; 'recall': 0.9593023255813954; 'f1-score': 0.934844192634561; 'support': 172}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9433011049723756; 'recall': 0.9519695018910437; 'f1-score': 0.9472112000079659; 'support': 461}; 'weighted avg': {'precision': 0.9513461607602975; 'recall': 0.9501084598698482; 'f1-score': 0.9503498981916716; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.9375; 'f1-score': 0.967741935483871; 'support': 32}; '1.0': {'precision': 0.9047619047619048; 'recall': 1.0; 'f1-score': 0.9500000000000001; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9523809523809523; 'recall': 0.96875; 'f1-score': 0.9588709677419356; 'support': 51}; 'weighted avg': {'precision': 0.9645191409897292; 'recall': 0.9607843137254902; 'f1-score': 0.9611321948134092; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.933597 (+- 0.021800), (mean training time) 1.995869 (+- 0.427667)
