l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],262,1015.452521,0.777550,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 41],{'0': {'precision': 0.7946654498693325; 'recall': 0.9567497378015283; 'f1-score': 0.8682075685474733; 'support': 20023}; '1': {'precision': 0.6179973533303926; 'recall': 0.22059518186112423; 'f1-score': 0.32513344163378977; 'support': 6351}; 'accuracy': 0.779479790702965; 'macro avg': {'precision': 0.7063314015998625; 'recall': 0.5886724598313262; 'f1-score': 0.5966705050906316; 'support': 26374}; 'weighted avg': {'precision': 0.7521228290640393; 'recall': 0.779479790702965; 'f1-score': 0.737432419535992; 'support': 26374}},{'0': {'precision': 0.7914042237865876; 'recall': 0.96; 'f1-score': 0.867587327376117; 'support': 2225}; '1': {'precision': 0.6163793103448276; 'recall': 0.20254957507082152; 'f1-score': 0.3049040511727079; 'support': 706}; 'accuracy': 0.7775503241214603; 'macro avg': {'precision': 0.7038917670657077; 'recall': 0.5812747875354107; 'f1-score': 0.5862456892744125; 'support': 2931}; 'weighted avg': {'precision': 0.7492453739435706; 'recall': 0.7775503241214603; 'f1-score': 0.7320518811121774; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],262,1013.072201,0.775844,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 34],{'0': {'precision': 0.794822865676595; 'recall': 0.9568995654996754; 'f1-score': 0.868363207867842; 'support': 20023}; '1': {'precision': 0.6194885361552028; 'recall': 0.22122500393638797; 'f1-score': 0.3260239006845342; 'support': 6351}; 'accuracy': 0.7797452036096155; 'macro avg': {'precision': 0.7071557009158989; 'recall': 0.5890622847180317; 'f1-score': 0.5971935542761881; 'support': 26374}; 'weighted avg': {'precision': 0.7526014230895638; 'recall': 0.7797452036096155; 'f1-score': 0.7377650073703375; 'support': 26374}},{'0': {'precision': 0.7895125553914328; 'recall': 0.9608988764044943; 'f1-score': 0.8668153253598216; 'support': 2225}; '1': {'precision': 0.6098654708520179; 'recall': 0.19263456090651557; 'f1-score': 0.29278794402583425; 'support': 706}; 'accuracy': 0.7758444216990789; 'macro avg': {'precision': 0.6996890131217254; 'recall': 0.576766718655505; 'f1-score': 0.579801634692828; 'support': 2931}; 'weighted avg': {'precision': 0.7462403473788681; 'recall': 0.7758444216990789; 'f1-score': 0.7285473856730953; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],262,1013.691050,0.781644,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10 OR X13 == 34],{'0': {'precision': 0.8034279363993845; 'recall': 0.9387704140238725; 'f1-score': 0.8658421428406918; 'support': 20023}; '1': {'precision': 0.5883143049026192; 'recall': 0.27586206896551724; 'f1-score': 0.3756029585164541; 'support': 6351}; 'accuracy': 0.7791385455372716; 'macro avg': {'precision': 0.6958711206510018; 'recall': 0.6073162414946949; 'f1-score': 0.620722550678573; 'support': 26374}; 'weighted avg': {'precision': 0.7516274255312585; 'recall': 0.7791385455372716; 'f1-score': 0.7477899300689002; 'support': 26374}},{'0': {'precision': 0.8039892596854622; 'recall': 0.9420224719101123; 'f1-score': 0.8675496688741722; 'support': 2225}; '1': {'precision': 0.6018518518518519; 'recall': 0.2762039660056657; 'f1-score': 0.3786407766990291; 'support': 706}; 'accuracy': 0.7816444899351757; 'macro avg': {'precision': 0.7029205557686571; 'recall': 0.6091132189578891; 'f1-score': 0.6230952227866007; 'support': 2931}; 'weighted avg': {'precision': 0.7552997305382328; 'recall': 0.7816444899351757; 'f1-score': 0.7497845109500334; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],262,1016.908090,0.774821,8,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.80402977412731; 'recall': 0.9386705288917745; 'f1-score': 0.8661489896080554; 'support': 20023}; '1': {'precision': 0.590393595730487; 'recall': 0.2786962683042041; 'f1-score': 0.3786501230078083; 'support': 6351}; 'accuracy': 0.7797452036096155; 'macro avg': {'precision': 0.6972116849288985; 'recall': 0.6086833985979893; 'f1-score': 0.6223995563079319; 'support': 26374}; 'weighted avg': {'precision': 0.7525850418531679; 'recall': 0.7797452036096155; 'f1-score': 0.7487566599736362; 'support': 26374}},{'0': {'precision': 0.8017740069417663; 'recall': 0.9343820224719102; 'f1-score': 0.863013698630137; 'support': 2225}; '1': {'precision': 0.5680473372781065; 'recall': 0.2719546742209632; 'f1-score': 0.367816091954023; 'support': 706}; 'accuracy': 0.77482088024565; 'macro avg': {'precision': 0.6849106721099364; 'recall': 0.6031683483464367; 'f1-score': 0.6154148952920799; 'support': 2931}; 'weighted avg': {'precision': 0.7454754641978073; 'recall': 0.77482088024565; 'f1-score': 0.743733756523915; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],262,1012.880134,0.784374,5,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10],{'0': {'precision': 0.8031183255019223; 'recall': 0.9389701842880687; 'f1-score': 0.865747242879838; 'support': 20023}; '1': {'precision': 0.5877192982456141; 'recall': 0.2742875137773579; 'f1-score': 0.374020397208803; 'support': 6351}; 'accuracy': 0.7789110487601426; 'macro avg': {'precision': 0.6954188118737682; 'recall': 0.6066288490327133; 'f1-score': 0.6198838200443204; 'support': 26374}; 'weighted avg': {'precision': 0.751249089811287; 'recall': 0.7789110487601426; 'f1-score': 0.7473367933137218; 'support': 26374}},{'0': {'precision': 0.8062283737024222; 'recall': 0.9424719101123595; 'f1-score': 0.8690426854537919; 'support': 2225}; '1': {'precision': 0.6121212121212121; 'recall': 0.28611898016997167; 'f1-score': 0.3899613899613899; 'support': 706}; 'accuracy': 0.784373933810986; 'macro avg': {'precision': 0.7091747929118171; 'recall': 0.6142954451411656; 'f1-score': 0.629502037707591; 'support': 2931}; 'weighted avg': {'precision': 0.7594731174498345; 'recall': 0.784373933810986; 'f1-score': 0.7536447343730565; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],262,1033.235356,0.781229,7,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 34],{'0': {'precision': 0.8034966230657433; 'recall': 0.9387704140238725; 'f1-score': 0.865882027777138; 'support': 20023}; '1': {'precision': 0.5887286145588728; 'recall': 0.27629093198992444; 'f1-score': 0.3760848601735776; 'support': 6352}; 'accuracy': 0.7792227488151658; 'macro avg': {'precision': 0.6961126188123081; 'recall': 0.6075306730068984; 'f1-score': 0.6209834439753578; 'support': 26375}; 'weighted avg': {'precision': 0.7517731580406953; 'recall': 0.7792227488151658; 'f1-score': 0.7479221563603488; 'support': 26375}},{'0': {'precision': 0.8057915057915058; 'recall': 0.9379775280898877; 'f1-score': 0.8668743509865005; 'support': 2225}; '1': {'precision': 0.5941176470588235; 'recall': 0.2865248226950355; 'f1-score': 0.3866028708133971; 'support': 705}; 'accuracy': 0.7812286689419795; 'macro avg': {'precision': 0.6999545764251647; 'recall': 0.6122511753924615; 'f1-score': 0.6267386108999488; 'support': 2930}; 'weighted avg': {'precision': 0.7548597411476351; 'recall': 0.7812286689419795; 'f1-score': 0.7513141484192521; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],262,1026.582219,0.782935,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1],{'0': {'precision': 0.7938315048644173; 'recall': 0.957648703990411; 'f1-score': 0.8680791344107927; 'support': 20023}; '1': {'precision': 0.618018018018018; 'recall': 0.21599496221662468; 'f1-score': 0.32011199253383105; 'support': 6352}; 'accuracy': 0.7790331753554502; 'macro avg': {'precision': 0.7059247614412176; 'recall': 0.5868218331035179; 'f1-score': 0.5940955634723118; 'support': 26375}; 'weighted avg': {'precision': 0.7514896179090305; 'recall': 0.7790331753554502; 'f1-score': 0.736109948241979; 'support': 26375}},{'0': {'precision': 0.7979002624671916; 'recall': 0.9564044943820225; 'f1-score': 0.8699918233851186; 'support': 2225}; '1': {'precision': 0.6311787072243346; 'recall': 0.23546099290780143; 'f1-score': 0.34297520661157027; 'support': 705}; 'accuracy': 0.7829351535836178; 'macro avg': {'precision': 0.7145394848457631; 'recall': 0.595932743644912; 'f1-score': 0.6064835149983444; 'support': 2930}; 'weighted avg': {'precision': 0.757784666410463; 'recall': 0.7829351535836178; 'f1-score': 0.7431840708849986; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],262,1060.684686,0.779522,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7943297687142502; 'recall': 0.9570993357638715; 'f1-score': 0.868151033998505; 'support': 20023}; '1': {'precision': 0.6180524677634505; 'recall': 0.2188287153652393; 'f1-score': 0.32321823043832115; 'support': 6352}; 'accuracy': 0.7792985781990521; 'macro avg': {'precision': 0.7061911182388503; 'recall': 0.5879640255645554; 'f1-score': 0.5956846322184131; 'support': 26375}; 'weighted avg': {'precision': 0.7518761794956917; 'recall': 0.7792985781990521; 'f1-score': 0.7369126200377737; 'support': 26375}},{'0': {'precision': 0.793603570100409; 'recall': 0.9591011235955056; 'f1-score': 0.8685388685388685; 'support': 2225}; '1': {'precision': 0.6224066390041494; 'recall': 0.2127659574468085; 'f1-score': 0.31712473572938693; 'support': 705}; 'accuracy': 0.7795221843003413; 'macro avg': {'precision': 0.7080051045522793; 'recall': 0.5859335405211571; 'f1-score': 0.5928318021341277; 'support': 2930}; 'weighted avg': {'precision': 0.7524111344612067; 'recall': 0.7795221843003413; 'f1-score': 0.7358607239550171; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],262,1012.189641,0.767235,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 21],{'0': {'precision': 0.8039718129404229; 'recall': 0.9401218537754694; 'f1-score': 0.8667326595916113; 'support': 20024}; '1': {'precision': 0.5949324324324324; 'recall': 0.27727916863486063; 'f1-score': 0.3782622704328214; 'support': 6351}; 'accuracy': 0.7805118483412322; 'macro avg': {'precision': 0.6994521226864276; 'recall': 0.608700511205165; 'f1-score': 0.6224974650122164; 'support': 26375}; 'weighted avg': {'precision': 0.7536359226804703; 'recall': 0.7805118483412322; 'f1-score': 0.7491108419026076; 'support': 26375}},{'0': {'precision': 0.7993012422360248; 'recall': 0.9258093525179856; 'f1-score': 0.8579166666666667; 'support': 2224}; '1': {'precision': 0.5338983050847458; 'recall': 0.26770538243626063; 'f1-score': 0.3566037735849057; 'support': 706}; 'accuracy': 0.7672354948805461; 'macro avg': {'precision': 0.6665997736603853; 'recall': 0.5967573674771232; 'f1-score': 0.6072602201257862; 'support': 2930}; 'weighted avg': {'precision': 0.735350909939505; 'recall': 0.7672354948805461; 'f1-score': 0.7371225019855324; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],262,1011.518403,0.778157,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34],{'0': {'precision': 0.7942601565411852; 'recall': 0.9578006392329205; 'f1-score': 0.8683978175726155; 'support': 20024}; '1': {'precision': 0.6207360861759426; 'recall': 0.21776098252243742; 'f1-score': 0.32241519990674905; 'support': 6351}; 'accuracy': 0.7796018957345972; 'macro avg': {'precision': 0.7074981213585638; 'recall': 0.587780810877679; 'f1-score': 0.5954065087396823; 'support': 26375}; 'weighted avg': {'precision': 0.752476218308402; 'recall': 0.7796018957345972; 'f1-score': 0.7369272733149503; 'support': 26375}},{'0': {'precision': 0.7932190760059612; 'recall': 0.9572841726618705; 'f1-score': 0.8675631621841889; 'support': 2224}; '1': {'precision': 0.6138211382113821; 'recall': 0.21388101983002833; 'f1-score': 0.3172268907563025; 'support': 706}; 'accuracy': 0.7781569965870307; 'macro avg': {'precision': 0.7035201071086716; 'recall': 0.5855825962459494; 'f1-score': 0.5923950264702458; 'support': 2930}; 'weighted avg': {'precision': 0.749992132632933; 'recall': 0.7781569965870307; 'f1-score': 0.7349565384203364; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.778331 (+- 0.004699), (mean training time) 1021.621430 (+- 14.659884)
