l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],262,1015.858799,0.774821,7,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 17 OR X13 == 34],{'0': {'precision': 0.8040580948312687; 'recall': 0.9400689207411477; 'f1-score': 0.8667602974696658; 'support': 20023}; '1': {'precision': 0.5951417004048583; 'recall': 0.27775153519130846; 'f1-score': 0.378743961352657; 'support': 6351}; 'accuracy': 0.7805793584590885; 'macro avg': {'precision': 0.6995998976180635; 'recall': 0.6089102279662281; 'f1-score': 0.6227521294111613; 'support': 26374}; 'weighted avg': {'precision': 0.7537499117341983; 'recall': 0.7805793584590885; 'f1-score': 0.7492433584130523; 'support': 26374}},{'0': {'precision': 0.8017740069417663; 'recall': 0.9343820224719102; 'f1-score': 0.863013698630137; 'support': 2225}; '1': {'precision': 0.5680473372781065; 'recall': 0.2719546742209632; 'f1-score': 0.367816091954023; 'support': 706}; 'accuracy': 0.77482088024565; 'macro avg': {'precision': 0.6849106721099364; 'recall': 0.6031683483464367; 'f1-score': 0.6154148952920799; 'support': 2931}; 'weighted avg': {'precision': 0.7454754641978073; 'recall': 0.77482088024565; 'f1-score': 0.743733756523915; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],262,1018.137790,0.783009,5,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1],{'0': {'precision': 0.8036720751494449; 'recall': 0.9400189781750986; 'f1-score': 0.8665147434569436; 'support': 20023}; '1': {'precision': 0.593432633716994; 'recall': 0.2760195244843332; 'f1-score': 0.3767866738312735; 'support': 6351}; 'accuracy': 0.7801243649048305; 'macro avg': {'precision': 0.6985523544332195; 'recall': 0.6080192513297159; 'f1-score': 0.6216507086441085; 'support': 26374}; 'weighted avg': {'precision': 0.7530452952701132; 'recall': 0.7801243649048305; 'f1-score': 0.7485856098331993; 'support': 26374}},{'0': {'precision': 0.8042895442359249; 'recall': 0.9438202247191011; 'f1-score': 0.8684863523573201; 'support': 2225}; '1': {'precision': 0.609375; 'recall': 0.2762039660056657; 'f1-score': 0.3801169590643275; 'support': 706}; 'accuracy': 0.7830092118730808; 'macro avg': {'precision': 0.7068322721179625; 'recall': 0.6100120953623834; 'f1-score': 0.6243016557108239; 'support': 2931}; 'weighted avg': {'precision': 0.7573398109604002; 'recall': 0.7830092118730808; 'f1-score': 0.7508511453751117; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],262,1016.422356,0.773456,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7947867887779205; 'recall': 0.9578484742546072; 'f1-score': 0.8687321646962902; 'support': 20023}; '1': {'precision': 0.6237182345073562; 'recall': 0.22028027082349236; 'f1-score': 0.3255759832441238; 'support': 6351}; 'accuracy': 0.780238113293395; 'macro avg': {'precision': 0.7092525116426384; 'recall': 0.5890643725390498; 'f1-score': 0.597154073970207; 'support': 26374}; 'weighted avg': {'precision': 0.7535925676445182; 'recall': 0.780238113293395; 'f1-score': 0.7379372565138869; 'support': 26374}},{'0': {'precision': 0.7893956247682611; 'recall': 0.9568539325842697; 'f1-score': 0.8650954896383585; 'support': 2225}; '1': {'precision': 0.5897435897435898; 'recall': 0.1954674220963173; 'f1-score': 0.2936170212765958; 'support': 706}; 'accuracy': 0.7734561583077448; 'macro avg': {'precision': 0.6895696072559254; 'recall': 0.5761606773402934; 'f1-score': 0.5793562554574772; 'support': 2931}; 'weighted avg': {'precision': 0.7413047558745668; 'recall': 0.7734561583077448; 'f1-score': 0.7274415153417347; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],262,1019.027487,0.788468,7,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 34],{'0': {'precision': 0.8035309708032318; 'recall': 0.9387704140238725; 'f1-score': 0.8659019716233647; 'support': 20023}; '1': {'precision': 0.5887286145588728; 'recall': 0.27633443552196507; 'f1-score': 0.3761251607372482; 'support': 6351}; 'accuracy': 0.7792522939258361; 'macro avg': {'precision': 0.6961297926810524; 'recall': 0.6075524247729188; 'f1-score': 0.6210135661803065; 'support': 26374}; 'weighted avg': {'precision': 0.7518054166776564; 'recall': 0.7792522939258361; 'f1-score': 0.7479611008438952; 'support': 26374}},{'0': {'precision': 0.8075891146032963; 'recall': 0.9469662921348314; 'f1-score': 0.8717418287132809; 'support': 2225}; '1': {'precision': 0.6335403726708074; 'recall': 0.28895184135977336; 'f1-score': 0.3968871595330739; 'support': 706}; 'accuracy': 0.7884680996247014; 'macro avg': {'precision': 0.7205647436370519; 'recall': 0.6179590667473024; 'f1-score': 0.6343144941231774; 'support': 2931}; 'weighted avg': {'precision': 0.7656653985322157; 'recall': 0.7884680996247014; 'f1-score': 0.7573619595760491; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],262,1013.223439,0.781986,5,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1],{'0': {'precision': 0.8036362084418078; 'recall': 0.940418518703491; 'f1-score': 0.8666635982878447; 'support': 20023}; '1': {'precision': 0.5946313285762828; 'recall': 0.27554715792788537; 'f1-score': 0.376587045405638; 'support': 6351}; 'accuracy': 0.780313945552438; 'macro avg': {'precision': 0.6991337685090453; 'recall': 0.6079828383156882; 'f1-score': 0.6216253218467414; 'support': 26374}; 'weighted avg': {'precision': 0.7533067175786112; 'recall': 0.780313945552438; 'f1-score': 0.7486505480355168; 'support': 26374}},{'0': {'precision': 0.8054699537750385; 'recall': 0.9397752808988764; 'f1-score': 0.8674548848786559; 'support': 2225}; '1': {'precision': 0.6; 'recall': 0.2847025495750708; 'f1-score': 0.38616714697406335; 'support': 706}; 'accuracy': 0.781985670419652; 'macro avg': {'precision': 0.7027349768875193; 'recall': 0.6122389152369736; 'f1-score': 0.6268110159263596; 'support': 2931}; 'weighted avg': {'precision': 0.7559777028827911; 'recall': 0.781985670419652; 'f1-score': 0.7515254604635613; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],262,1014.730975,0.789420,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 41],{'0': {'precision': 0.7932674413795956; 'recall': 0.9579983019527544; 'f1-score': 0.8678852592525563; 'support': 20023}; '1': {'precision': 0.6166818596171376; 'recall': 0.21300377833753148; 'f1-score': 0.31663936344488647; 'support': 6352}; 'accuracy': 0.7785781990521327; 'macro avg': {'precision': 0.7049746504983666; 'recall': 0.5855010401451429; 'f1-score': 0.5922623113487214; 'support': 26375}; 'weighted avg': {'precision': 0.7507396076220549; 'recall': 0.7785781990521327; 'f1-score': 0.7351264372555774; 'support': 26375}},{'0': {'precision': 0.802710843373494; 'recall': 0.9582022471910112; 'f1-score': 0.8735914771563204; 'support': 2225}; '1': {'precision': 0.6605839416058394; 'recall': 0.25673758865248225; 'f1-score': 0.36976506639427986; 'support': 705}; 'accuracy': 0.789419795221843; 'macro avg': {'precision': 0.7316473924896667; 'recall': 0.6074699179217468; 'f1-score': 0.6216782717753001; 'support': 2930}; 'weighted avg': {'precision': 0.768513073494246; 'recall': 0.789419795221843; 'f1-score': 0.7523636206419044; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],262,1065.450515,0.779522,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 36],{'0': {'precision': 0.7941420167370951; 'recall': 0.9573490485941167; 'f1-score': 0.8681415728810489; 'support': 20023}; '1': {'precision': 0.6182387125614662; 'recall': 0.21772670025188917; 'f1-score': 0.32203981837233675; 'support': 6352}; 'accuracy': 0.7792227488151658; 'macro avg': {'precision': 0.7061903646492806; 'recall': 0.587537874423003; 'f1-score': 0.5950906956266928; 'support': 26375}; 'weighted avg': {'precision': 0.7517784987039731; 'recall': 0.7792227488151658; 'f1-score': 0.7366216356435383; 'support': 26375}},{'0': {'precision': 0.793603570100409; 'recall': 0.9591011235955056; 'f1-score': 0.8685388685388685; 'support': 2225}; '1': {'precision': 0.6224066390041494; 'recall': 0.2127659574468085; 'f1-score': 0.31712473572938693; 'support': 705}; 'accuracy': 0.7795221843003413; 'macro avg': {'precision': 0.7080051045522793; 'recall': 0.5859335405211571; 'f1-score': 0.5928318021341277; 'support': 2930}; 'weighted avg': {'precision': 0.7524111344612067; 'recall': 0.7795221843003413; 'f1-score': 0.7358607239550171; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],262,1022.642410,0.783276,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7937427578215527; 'recall': 0.9578984168206562; 'f1-score': 0.8681286351189264; 'support': 20023}; '1': {'precision': 0.6187245590230664; 'recall': 0.21536523929471033; 'f1-score': 0.31951418895246997; 'support': 6352}; 'accuracy': 0.7790710900473934; 'macro avg': {'precision': 0.7062336584223096; 'recall': 0.5866318280576833; 'f1-score': 0.5938214120356982; 'support': 26375}; 'weighted avg': {'precision': 0.7515924033658944; 'recall': 0.7790710900473934; 'f1-score': 0.7360035559890938; 'support': 26375}},{'0': {'precision': 0.7981995498874719; 'recall': 0.9564044943820225; 'f1-score': 0.8701696994479656; 'support': 2225}; '1': {'precision': 0.6325757575757576; 'recall': 0.23687943262411348; 'f1-score': 0.3446852425180599; 'support': 705}; 'accuracy': 0.7832764505119454; 'macro avg': {'precision': 0.7153876537316147; 'recall': 0.596641963503068; 'f1-score': 0.6074274709830128; 'support': 2930}; 'weighted avg': {'precision': 0.7583480913278273; 'recall': 0.7832764505119454; 'f1-score': 0.7437306065689269; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],262,1011.331099,0.765188,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34],{'0': {'precision': 0.8050948880150454; 'recall': 0.9406711945665202; 'f1-score': 0.8676186089359743; 'support': 20024}; '1': {'precision': 0.6012084592145015; 'recall': 0.2820028341993387; 'f1-score': 0.3839228295819936; 'support': 6351}; 'accuracy': 0.7820663507109005; 'macro avg': {'precision': 0.7031516736147734; 'recall': 0.6113370143829294; 'f1-score': 0.625770719258984; 'support': 26375}; 'weighted avg': {'precision': 0.7559998089889882; 'recall': 0.7820663507109005; 'f1-score': 0.7511464991851826; 'support': 26375}},{'0': {'precision': 0.7929061784897025; 'recall': 0.9348021582733813; 'f1-score': 0.8580272389599669; 'support': 2224}; '1': {'precision': 0.5292207792207793; 'recall': 0.23087818696883852; 'f1-score': 0.3214990138067061; 'support': 706}; 'accuracy': 0.7651877133105802; 'macro avg': {'precision': 0.6610634788552409; 'recall': 0.5828401726211099; 'f1-score': 0.5897631263833365; 'support': 2930}; 'weighted avg': {'precision': 0.7293696966180779; 'recall': 0.7651877133105802; 'f1-score': 0.7287477417046079; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],262,1013.461313,0.772355,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 34],{'0': {'precision': 0.7944253752946528; 'recall': 0.9593487814622453; 'f1-score': 0.8691324510801947; 'support': 20024}; '1': {'precision': 0.6289881494986327; 'recall': 0.2172886159659896; 'f1-score': 0.3229959040374488; 'support': 6351}; 'accuracy': 0.7806635071090048; 'macro avg': {'precision': 0.7117067623966428; 'recall': 0.5883186987141175; 'f1-score': 0.5960641775588218; 'support': 26375}; 'weighted avg': {'precision': 0.7545887185731165; 'recall': 0.7806635071090048; 'f1-score': 0.7376248412121954; 'support': 26375}},{'0': {'precision': 0.7903767251025736; 'recall': 0.9527877697841727; 'f1-score': 0.8640163098878694; 'support': 2224}; '1': {'precision': 0.5783132530120482; 'recall': 0.20396600566572237; 'f1-score': 0.30157068062827225; 'support': 706}; 'accuracy': 0.7723549488054607; 'macro avg': {'precision': 0.6843449890573109; 'recall': 0.5783768877249476; 'f1-score': 0.5827934952580708; 'support': 2930}; 'weighted avg': {'precision': 0.7392788372882696; 'recall': 0.7723549488054607; 'f1-score': 0.7284918681618368; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.779150 (+- 0.007243), (mean training time) 1021.028618 (+- 15.126475)
