l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],262,1016.138349,0.774480,9,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 10 OR X13 == 21 OR X13 == 24 OR X13 == 34],{'0': {'precision': 0.803837587801953; 'recall': 0.9373220796084503; 'f1-score': 0.8654630974614373; 'support': 20023}; '1': {'precision': 0.585261070720423; 'recall': 0.27885372382302; 'f1-score': 0.3777327503465927; 'support': 6351}; 'accuracy': 0.7787593842420566; 'macro avg': {'precision': 0.694549329261188; 'recall': 0.6080879017157351; 'f1-score': 0.621597923904015; 'support': 26374}; 'weighted avg': {'precision': 0.7512031955980857; 'recall': 0.7787593842420566; 'f1-score': 0.7480150260833233; 'support': 26374}},{'0': {'precision': 0.7989296636085627; 'recall': 0.9393258426966292; 'f1-score': 0.8634579632307374; 'support': 2225}; '1': {'precision': 0.5714285714285714; 'recall': 0.254957507082153; 'f1-score': 0.35259549461312434; 'support': 706}; 'accuracy': 0.7744796997611737; 'macro avg': {'precision': 0.6851791175185671; 'recall': 0.5971416748893911; 'f1-score': 0.6080267289219309; 'support': 2931}; 'weighted avg': {'precision': 0.7441306970172716; 'recall': 0.7744796997611737; 'f1-score': 0.7404047722228785; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],262,1014.370049,0.776527,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 10],{'0': {'precision': 0.8033290653008963; 'recall': 0.9400189781750986; 'f1-score': 0.8663153292062689; 'support': 20023}; '1': {'precision': 0.5920516304347826; 'recall': 0.27444496929617385; 'f1-score': 0.37504034427111355; 'support': 6351}; 'accuracy': 0.7797452036096155; 'macro avg': {'precision': 0.6976903478678395; 'recall': 0.6072319737356362; 'f1-score': 0.6206778367386911; 'support': 26374}; 'weighted avg': {'precision': 0.7524523310613161; 'recall': 0.7797452036096155; 'f1-score': 0.7480136901176524; 'support': 26374}},{'0': {'precision': 0.8012279355333844; 'recall': 0.9384269662921348; 'f1-score': 0.8644173049058166; 'support': 2225}; '1': {'precision': 0.5784615384615385; 'recall': 0.26628895184135976; 'f1-score': 0.36469447138700295; 'support': 706}; 'accuracy': 0.7765267826680314; 'macro avg': {'precision': 0.6898447369974614; 'recall': 0.6023579590667473; 'f1-score': 0.6145558881464097; 'support': 2931}; 'weighted avg': {'precision': 0.7475694311551097; 'recall': 0.7765267826680314; 'f1-score': 0.7440473559244852; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],262,1016.912250,0.772091,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 41],{'0': {'precision': 0.7939111037673496; 'recall': 0.9598461768965689; 'f1-score': 0.8690285094164726; 'support': 20023}; '1': {'precision': 0.628808864265928; 'recall': 0.21445441662730277; 'f1-score': 0.319830926382529; 'support': 6351}; 'accuracy': 0.7803518616819595; 'macro avg': {'precision': 0.7113599840166388; 'recall': 0.5871502967619359; 'f1-score': 0.5944297178995008; 'support': 26374}; 'weighted avg': {'precision': 0.7541536030820714; 'recall': 0.7803518616819595; 'f1-score': 0.7367787994806048; 'support': 26374}},{'0': {'precision': 0.7916822780067441; 'recall': 0.9496629213483146; 'f1-score': 0.863506334286882; 'support': 2225}; '1': {'precision': 0.5725190839694656; 'recall': 0.21246458923512748; 'f1-score': 0.30991735537190085; 'support': 706}; 'accuracy': 0.7720914363698397; 'macro avg': {'precision': 0.6821006809881048; 'recall': 0.581063755291721; 'f1-score': 0.5867118448293914; 'support': 2931}; 'weighted avg': {'precision': 0.7388916894737114; 'recall': 0.7720914363698397; 'f1-score': 0.7301614625318574; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],262,1013.651570,0.775162,7,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.8032863849765258; 'recall': 0.9399690356090495; 'f1-score': 0.866269302464732; 'support': 20023}; '1': {'precision': 0.5917119565217391; 'recall': 0.2742875137773579; 'f1-score': 0.37482517482517486; 'support': 6351}; 'accuracy': 0.7796693713505726; 'macro avg': {'precision': 0.6974991707491325; 'recall': 0.6071282746932037; 'f1-score': 0.6205472386449534; 'support': 26374}; 'weighted avg': {'precision': 0.7523381330952659; 'recall': 0.7796693713505726; 'f1-score': 0.7479269329099119; 'support': 26374}},{'0': {'precision': 0.8009223674096848; 'recall': 0.9366292134831461; 'f1-score': 0.8634762792624817; 'support': 2225}; '1': {'precision': 0.5714285714285714; 'recall': 0.26628895184135976; 'f1-score': 0.3632850241545893; 'support': 706}; 'accuracy': 0.7751620607301263; 'macro avg': {'precision': 0.6861754694191281; 'recall': 0.6014590826622529; 'f1-score': 0.6133806517085355; 'support': 2931}; 'weighted avg': {'precision': 0.745643411434705; 'recall': 0.7751620607301263; 'f1-score': 0.7429934999700313; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],262,1011.591113,0.779256,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 10 OR X13 == 41],{'0': {'precision': 0.7941420167370951; 'recall': 0.9573490485941167; 'f1-score': 0.8681415728810489; 'support': 20023}; '1': {'precision': 0.6180679785330948; 'recall': 0.21760352700362148; 'f1-score': 0.3218819145219518; 'support': 6351}; 'accuracy': 0.7792143777963145; 'macro avg': {'precision': 0.7061049976350949; 'recall': 0.5874762877988691; 'f1-score': 0.5950117437015003; 'support': 26374}; 'weighted avg': {'precision': 0.7517424483502896; 'recall': 0.7792143777963145; 'f1-score': 0.7365993308912625; 'support': 26374}},{'0': {'precision': 0.7939642324888226; 'recall': 0.957752808988764; 'f1-score': 0.8682012629863516; 'support': 2225}; '1': {'precision': 0.6194331983805668; 'recall': 0.21671388101983002; 'f1-score': 0.3210912906610703; 'support': 706}; 'accuracy': 0.7792562265438417; 'macro avg': {'precision': 0.7066987154346946; 'recall': 0.587233345004297; 'f1-score': 0.594646276823711; 'support': 2931}; 'weighted avg': {'precision': 0.7519243450509417; 'recall': 0.7792562265438417; 'f1-score': 0.7364170117200096; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],262,1013.491503,0.787031,5,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10],{'0': {'precision': 0.8022928741902489; 'recall': 0.9401688058732458; 'f1-score': 0.8657759790282153; 'support': 20023}; '1': {'precision': 0.5884575747165922; 'recall': 0.26967884130982367; 'f1-score': 0.3698585771348375; 'support': 6352}; 'accuracy': 0.7786919431279621; 'macro avg': {'precision': 0.6953752244534206; 'recall': 0.6049238235915347; 'f1-score': 0.6178172780815264; 'support': 26375}; 'weighted avg': {'precision': 0.7507940373274369; 'recall': 0.7786919431279621; 'f1-score': 0.7463421463523201; 'support': 26375}},{'0': {'precision': 0.8091927385090769; 'recall': 0.9415730337078652; 'f1-score': 0.8703780639800581; 'support': 2225}; '1': {'precision': 0.6187683284457478; 'recall': 0.29929078014184396; 'f1-score': 0.40344168260038243; 'support': 705}; 'accuracy': 0.7870307167235495; 'macro avg': {'precision': 0.7139805334774123; 'recall': 0.6204319069248545; 'f1-score': 0.6369098732902203; 'support': 2930}; 'weighted avg': {'precision': 0.7633738958146581; 'recall': 0.7870307167235495; 'f1-score': 0.7580264773340952; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],262,1027.597308,0.776792,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 12 OR X13 == 21 OR X13 == 41],{'0': {'precision': 0.7939177991382168; 'recall': 0.9569994506317735; 'f1-score': 0.8678638556126724; 'support': 20023}; '1': {'precision': 0.6154533273782938; 'recall': 0.2169395465994962; 'f1-score': 0.32080083808636944; 'support': 6352}; 'accuracy': 0.7787677725118484; 'macro avg': {'precision': 0.7046855632582554; 'recall': 0.5869694986156349; 'f1-score': 0.594332346849521; 'support': 26375}; 'weighted avg': {'precision': 0.7509374645555048; 'recall': 0.7787677725118484; 'f1-score': 0.736112413439134; 'support': 26375}},{'0': {'precision': 0.7932064203060843; 'recall': 0.9550561797752809; 'f1-score': 0.8666394779771615; 'support': 2225}; '1': {'precision': 0.601593625498008; 'recall': 0.21418439716312057; 'f1-score': 0.3158995815899582; 'support': 705}; 'accuracy': 0.7767918088737201; 'macro avg': {'precision': 0.6974000229020462; 'recall': 0.5846202884692008; 'f1-score': 0.5912695297835598; 'support': 2930}; 'weighted avg': {'precision': 0.7471016352072127; 'recall': 0.7767918088737201; 'f1-score': 0.7341235643413326; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],262,1041.250303,0.791126,8,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 10 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7934435741224253; 'recall': 0.9561504270089397; 'f1-score': 0.8672313824968292; 'support': 20023}; '1': {'precision': 0.6090828138913624; 'recall': 0.21536523929471033; 'f1-score': 0.31821353803210045; 'support': 6352}; 'accuracy': 0.7777440758293839; 'macro avg': {'precision': 0.7012631940068939; 'recall': 0.5857578331518251; 'f1-score': 0.5927224602644648; 'support': 26375}; 'weighted avg': {'precision': 0.7490432120754978; 'recall': 0.7777440758293839; 'f1-score': 0.7350091512915228; 'support': 26375}},{'0': {'precision': 0.8003724394785847; 'recall': 0.9658426966292135; 'f1-score': 0.8753564154786151; 'support': 2225}; '1': {'precision': 0.689795918367347; 'recall': 0.2397163120567376; 'f1-score': 0.35578947368421054; 'support': 705}; 'accuracy': 0.7911262798634813; 'macro avg': {'precision': 0.7450841789229659; 'recall': 0.6027795043429756; 'f1-score': 0.6155729445814129; 'support': 2930}; 'weighted avg': {'precision': 0.773766143443287; 'recall': 0.7911262798634813; 'f1-score': 0.750341161565627; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],262,1012.035299,0.774061,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1],{'0': {'precision': 0.7943963911765923; 'recall': 0.9585996803835397; 'f1-score': 0.868807567836694; 'support': 20024}; '1': {'precision': 0.6252260397830018; 'recall': 0.21776098252243742; 'f1-score': 0.3230176340067734; 'support': 6351}; 'accuracy': 0.7802085308056872; 'macro avg': {'precision': 0.7098112154797971; 'recall': 0.5881803314529885; 'f1-score': 0.5959126009217337; 'support': 26375}; 'weighted avg': {'precision': 0.7536608119651915; 'recall': 0.7802085308056872; 'f1-score': 0.7373834211161698; 'support': 26375}},{'0': {'precision': 0.7886178861788617; 'recall': 0.9595323741007195; 'f1-score': 0.8657200811359026; 'support': 2224}; '1': {'precision': 0.5982142857142857; 'recall': 0.18980169971671387; 'f1-score': 0.28817204301075267; 'support': 706}; 'accuracy': 0.774061433447099; 'macro avg': {'precision': 0.6934160859465737; 'recall': 0.5746670369087167; 'f1-score': 0.5769460620733277; 'support': 2930}; 'weighted avg': {'precision': 0.7427390664082164; 'recall': 0.774061433447099; 'f1-score': 0.72655662894602; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],262,1011.467891,0.772696,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 18],{'0': {'precision': 0.7940872441596031; 'recall': 0.9590990811026768; 'f1-score': 0.8688276142866838; 'support': 20024}; '1': {'precision': 0.626027397260274; 'recall': 0.2158715162966462; 'f1-score': 0.3210396909027046; 'support': 6351}; 'accuracy': 0.7801327014218009; 'macro avg': {'precision': 0.7100573207099385; 'recall': 0.5874852986996615; 'f1-score': 0.5949336525946942; 'support': 26375}; 'weighted avg': {'precision': 0.753619070219977; 'recall': 0.7801327014218009; 'f1-score': 0.7369223592568581; 'support': 26375}},{'0': {'precision': 0.7915419161676647; 'recall': 0.9509892086330936; 'f1-score': 0.8639705882352942; 'support': 2224}; '1': {'precision': 0.5775193798449613; 'recall': 0.21104815864022664; 'f1-score': 0.3091286307053942; 'support': 706}; 'accuracy': 0.7726962457337884; 'macro avg': {'precision': 0.6845306480063129; 'recall': 0.5810186836366601; 'f1-score': 0.5865496094703442; 'support': 2930}; 'weighted avg': {'precision': 0.7399719807943442; 'recall': 0.7726962457337884; 'f1-score': 0.7302782940318439; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.777922 (+- 0.005983), (mean training time) 1017.850563 (+- 8.993567)
