l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],262,1013.726703,0.783692,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7937888198757764; 'recall': 0.9573989911601658; 'f1-score': 0.8679510107984516; 'support': 20023}; '1': {'precision': 0.6164568345323741; 'recall': 0.2158715162966462; 'f1-score': 0.3197667638483965; 'support': 6351}; 'accuracy': 0.7788352165010995; 'macro avg': {'precision': 0.7051228272040753; 'recall': 0.586635253728406; 'f1-score': 0.5938588873234241; 'support': 26374}; 'weighted avg': {'precision': 0.7510863311021377; 'recall': 0.7788352165010995; 'f1-score': 0.735945317601371; 'support': 26374}},{'0': {'precision': 0.7956150130063173; 'recall': 0.9622471910112359; 'f1-score': 0.8710333604556549; 'support': 2225}; '1': {'precision': 0.65; 'recall': 0.22096317280453256; 'f1-score': 0.32980972515856233; 'support': 706}; 'accuracy': 0.7836915728420334; 'macro avg': {'precision': 0.7228075065031587; 'recall': 0.5916051819078842; 'f1-score': 0.6004215428071087; 'support': 2931}; 'weighted avg': {'precision': 0.7605402265230488; 'recall': 0.7836915728420334; 'f1-score': 0.740666971332575; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],262,1013.743414,0.783692,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 20],{'0': {'precision': 0.803416242133653; 'recall': 0.9372721370424012; 'f1-score': 0.865197547369877; 'support': 20023}; '1': {'precision': 0.5834162520729685; 'recall': 0.27696425759722876; 'f1-score': 0.37561392269912447; 'support': 6351}; 'accuracy': 0.7782664745582771; 'macro avg': {'precision': 0.6934162471033107; 'recall': 0.607118197319815; 'f1-score': 0.6204057350345007; 'support': 26374}; 'weighted avg': {'precision': 0.7504390700370652; 'recall': 0.7782664745582771; 'f1-score': 0.7473031968624093; 'support': 26374}},{'0': {'precision': 0.803741886216113; 'recall': 0.946067415730337; 'f1-score': 0.8691164327002477; 'support': 2225}; '1': {'precision': 0.6153846153846154; 'recall': 0.2719546742209632; 'f1-score': 0.3772102161100197; 'support': 706}; 'accuracy': 0.7836915728420334; 'macro avg': {'precision': 0.7095632508003642; 'recall': 0.6090110449756501; 'f1-score': 0.6231633244051338; 'support': 2931}; 'weighted avg': {'precision': 0.7583716258247664; 'recall': 0.7836915728420334; 'f1-score': 0.7506292989872826; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],262,1013.882073,0.769021,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.8036019119153295; 'recall': 0.940418518703491; 'f1-score': 0.8666436543550801; 'support': 20023}; '1': {'precision': 0.5944935418082937; 'recall': 0.27538970240906946; 'f1-score': 0.37641235338426776; 'support': 6351}; 'accuracy': 0.7802760294229165; 'macro avg': {'precision': 0.6990477268618116; 'recall': 0.6079041105562802; 'f1-score': 0.6215280038696739; 'support': 26374}; 'weighted avg': {'precision': 0.753247500049485; 'recall': 0.7802760294229165; 'f1-score': 0.7485933399368793; 'support': 26374}},{'0': {'precision': 0.8011673151750973; 'recall': 0.9253932584269663; 'f1-score': 0.8588112617309697; 'support': 2225}; '1': {'precision': 0.5401662049861495; 'recall': 0.2762039660056657; 'f1-score': 0.3655107778819119; 'support': 706}; 'accuracy': 0.7690208120095531; 'macro avg': {'precision': 0.6706667600806234; 'recall': 0.600798612216316; 'f1-score': 0.6121610198064408; 'support': 2931}; 'weighted avg': {'precision': 0.7382990846075786; 'recall': 0.7690208120095531; 'f1-score': 0.7399882860921314; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],262,1013.534424,0.777550,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10],{'0': {'precision': 0.7944308623047279; 'recall': 0.9574988762922639; 'f1-score': 0.8683757586737929; 'support': 20023}; '1': {'precision': 0.6202588130298974; 'recall': 0.21886317115414897; 'f1-score': 0.3235567970204842; 'support': 6351}; 'accuracy': 0.779631455221051; 'macro avg': {'precision': 0.7073448376673126; 'recall': 0.5881810237232065; 'f1-score': 0.5959662778471385; 'support': 26374}; 'weighted avg': {'precision': 0.7524893030060077; 'recall': 0.779631455221051; 'f1-score': 0.737180444142051; 'support': 26374}},{'0': {'precision': 0.7896869244935544; 'recall': 0.9635955056179776; 'f1-score': 0.8680161943319838; 'support': 2225}; '1': {'precision': 0.625; 'recall': 0.19121813031161472; 'f1-score': 0.29284164859002165; 'support': 706}; 'accuracy': 0.7775503241214603; 'macro avg': {'precision': 0.7073434622467771; 'recall': 0.5774068179647962; 'f1-score': 0.5804289214610028; 'support': 2931}; 'weighted avg': {'precision': 0.7500182214255062; 'recall': 0.7775503241214603; 'f1-score': 0.7294719332286658; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],262,1012.886950,0.773115,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 10 OR X13 == 18 OR X13 == 41],{'0': {'precision': 0.7945688225538972; 'recall': 0.9571492783299206; 'f1-score': 0.8683143420247832; 'support': 20023}; '1': {'precision': 0.6193433895297249; 'recall': 0.21980790426704455; 'f1-score': 0.3244625217896572; 'support': 6351}; 'accuracy': 0.7795935390915295; 'macro avg': {'precision': 0.706956106041811; 'recall': 0.5884785912984826; 'f1-score': 0.5963884319072201; 'support': 26374}; 'weighted avg': {'precision': 0.7523736028247504; 'recall': 0.7795935390915295; 'f1-score': 0.7373519203097121; 'support': 26374}},{'0': {'precision': 0.79082774049217; 'recall': 0.9532584269662921; 'f1-score': 0.8644793152639088; 'support': 2225}; '1': {'precision': 0.5823293172690763; 'recall': 0.20538243626062322; 'f1-score': 0.3036649214659686; 'support': 706}; 'accuracy': 0.7731149778232685; 'macro avg': {'precision': 0.6865785288806232; 'recall': 0.5793204316134577; 'f1-score': 0.5840721183649387; 'support': 2931}; 'weighted avg': {'precision': 0.7406060118004251; 'recall': 0.7731149778232685; 'f1-score': 0.7293940331003654; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],262,1025.501423,0.776109,7,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7943956226164816; 'recall': 0.9570993357638715; 'f1-score': 0.8681903640111446; 'support': 20023}; '1': {'precision': 0.6183918258551755; 'recall': 0.21914357682619648; 'f1-score': 0.3236080437056841; 'support': 6352}; 'accuracy': 0.7793744075829384; 'macro avg': {'precision': 0.7063937242358285; 'recall': 0.588121456295034; 'f1-score': 0.5958992038584143; 'support': 26375}; 'weighted avg': {'precision': 0.7520079025395976; 'recall': 0.7793744075829384; 'f1-score': 0.7370363583777688; 'support': 26375}},{'0': {'precision': 0.7928331466965286; 'recall': 0.9546067415730337; 'f1-score': 0.866231647634584; 'support': 2225}; '1': {'precision': 0.5976095617529881; 'recall': 0.2127659574468085; 'f1-score': 0.3138075313807532; 'support': 705}; 'accuracy': 0.7761092150170649; 'macro avg': {'precision': 0.6952213542247583; 'recall': 0.5836863495099212; 'f1-score': 0.5900195895076686; 'support': 2930}; 'weighted avg': {'precision': 0.7458595537322978; 'recall': 0.7761092150170649; 'f1-score': 0.7333104865564439; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],262,1026.958314,0.779181,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10 OR X13 == 41],{'0': {'precision': 0.7940786749482401; 'recall': 0.9577485891225092; 'f1-score': 0.8682679464831458; 'support': 20023}; '1': {'precision': 0.6197752808988765; 'recall': 0.21709697732997482; 'f1-score': 0.3215576541914423; 'support': 6352}; 'accuracy': 0.7793744075829384; 'macro avg': {'precision': 0.7069269779235583; 'recall': 0.587422783226242; 'f1-score': 0.594912800337294; 'support': 26375}; 'weighted avg': {'precision': 0.7521004698676124; 'recall': 0.7793744075829384; 'f1-score': 0.7366014525822207; 'support': 26375}},{'0': {'precision': 0.7939642324888226; 'recall': 0.957752808988764; 'f1-score': 0.8682012629863516; 'support': 2225}; '1': {'precision': 0.6178861788617886; 'recall': 0.21560283687943263; 'f1-score': 0.3196635120925342; 'support': 705}; 'accuracy': 0.7791808873720136; 'macro avg': {'precision': 0.7059252056753056; 'recall': 0.5866778229340983; 'f1-score': 0.5939323875394429; 'support': 2930}; 'weighted avg': {'precision': 0.7515973288004065; 'recall': 0.7791808873720136; 'f1-score': 0.7362152171228221; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],262,1063.186136,0.780887,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 41],{'0': {'precision': 0.803238762604683; 'recall': 0.9388702991559706; 'f1-score': 0.8657747484283971; 'support': 20023}; '1': {'precision': 0.5880175025244025; 'recall': 0.27503148614609574; 'f1-score': 0.37477206907647753; 'support': 6352}; 'accuracy': 0.7789952606635071; 'macro avg': {'precision': 0.6956281325645428; 'recall': 0.6069508926510332; 'f1-score': 0.6202734087524373; 'support': 26375}; 'weighted avg': {'precision': 0.7514061391343534; 'recall': 0.7789952606635071; 'f1-score': 0.7475245486466571; 'support': 26375}},{'0': {'precision': 0.805716492854384; 'recall': 0.9375280898876405; 'f1-score': 0.8666389696717907; 'support': 2225}; '1': {'precision': 0.592375366568915; 'recall': 0.2865248226950355; 'f1-score': 0.3862332695984704; 'support': 705}; 'accuracy': 0.7808873720136519; 'macro avg': {'precision': 0.6990459297116495; 'recall': 0.612026456291338; 'f1-score': 0.6264361196351305; 'support': 2930}; 'weighted avg': {'precision': 0.7543835597379145; 'recall': 0.7808873720136519; 'f1-score': 0.7510464718725789; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],262,1012.182990,0.785324,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 41],{'0': {'precision': 0.7934958004054781; 'recall': 0.9577506991610067; 'f1-score': 0.8679202588645261; 'support': 20024}; '1': {'precision': 0.6165004533091568; 'recall': 0.21413950558967093; 'f1-score': 0.3178684118265747; 'support': 6351}; 'accuracy': 0.7786919431279621; 'macro avg': {'precision': 0.7049981268573174; 'recall': 0.5859451023753388; 'f1-score': 0.5928943353455504; 'support': 26375}; 'weighted avg': {'precision': 0.7508759918970899; 'recall': 0.7786919431279621; 'f1-score': 0.7354698596024207; 'support': 26375}},{'0': {'precision': 0.7994742771310552; 'recall': 0.9572841726618705; 'f1-score': 0.8712911806834459; 'support': 2224}; '1': {'precision': 0.6441947565543071; 'recall': 0.24362606232294617; 'f1-score': 0.35354573484069884; 'support': 706}; 'accuracy': 0.7853242320819113; 'macro avg': {'precision': 0.7218345168426812; 'recall': 0.6004551174924083; 'f1-score': 0.6124184577620724; 'support': 2930}; 'weighted avg': {'precision': 0.7620588022071015; 'recall': 0.7853242320819113; 'f1-score': 0.7465374998762856; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],262,1012.018834,0.773038,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7943770444288021; 'recall': 0.9581002796644027; 'f1-score': 0.868590831918506; 'support': 20024}; '1': {'precision': 0.622751798561151; 'recall': 0.2180758935600693; 'f1-score': 0.3230320699708455; 'support': 6351}; 'accuracy': 0.7799052132701422; 'macro avg': {'precision': 0.7085644214949766; 'recall': 0.588088086612236; 'f1-score': 0.5958114509446757; 'support': 26375}; 'weighted avg': {'precision': 0.7530503359357045; 'recall': 0.7799052132701422; 'f1-score': 0.737222350510749; 'support': 26375}},{'0': {'precision': 0.7918382628229128; 'recall': 0.9509892086330936; 'f1-score': 0.8641470888661901; 'support': 2224}; '1': {'precision': 0.5791505791505791; 'recall': 0.21246458923512748; 'f1-score': 0.31088082901554404; 'support': 706}; 'accuracy': 0.773037542662116; 'macro avg': {'precision': 0.685494420986746; 'recall': 0.5817268989341106; 'f1-score': 0.5875139589408671; 'support': 2930}; 'weighted avg': {'precision': 0.7405899677127874; 'recall': 0.773037542662116; 'f1-score': 0.7308344678919388; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.778161 (+- 0.005107), (mean training time) 1020.762126 (+- 15.070002)
