l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26373,2931,1,[26373; 26373],262,1013.612194,0.783009,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34],{'0': {'precision': 0.8035912783240701; 'recall': 0.9387204714578236; 'f1-score': 0.8659157395250271; 'support': 20023}; '1': {'precision': 0.5886691250419042; 'recall': 0.27653543307086614; 'f1-score': 0.3762991535411979; 'support': 6350}; 'accuracy': 0.7792818412770637; 'macro avg': {'precision': 0.6961302016829871; 'recall': 0.6076279522643449; 'f1-score': 0.6211074465331126; 'support': 26373}; 'weighted avg': {'precision': 0.751843063356423; 'recall': 0.7792818412770637; 'f1-score': 0.7480275462592887; 'support': 26373}},{'0': {'precision': 0.802206162038798; 'recall': 0.9478651685393259; 'f1-score': 0.8689740420271942; 'support': 2225}; '1': {'precision': 0.6158940397350994; 'recall': 0.26345609065155806; 'f1-score': 0.369047619047619; 'support': 706}; 'accuracy': 0.7830092118730808; 'macro avg': {'precision': 0.7090501008869488; 'recall': 0.605660629595442; 'f1-score': 0.6190108305374066; 'support': 2931}; 'weighted avg': {'precision': 0.7573285235719228; 'recall': 0.7830092118730808; 'f1-score': 0.7485550537557577; 'support': 2931}}
l: 5,1,CNF,1,26373,2931,1,[26373; 26373],262,1016.314881,0.779597,7,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 18 OR X13 == 41],{'0': {'precision': 0.8037806859977761; 'recall': 0.9386205863257254; 'f1-score': 0.8659831816610989; 'support': 20023}; '1': {'precision': 0.5891006352390504; 'recall': 0.2774803149606299; 'f1-score': 0.3772615351675409; 'support': 6350}; 'accuracy': 0.7794335115458992; 'macro avg': {'precision': 0.6964406606184133; 'recall': 0.6080504506431776; 'f1-score': 0.6216223584143199; 'support': 26373}; 'weighted avg': {'precision': 0.7520907636408994; 'recall': 0.7794335115458992; 'f1-score': 0.7483104688398766; 'support': 26373}},{'0': {'precision': 0.800991231414411; 'recall': 0.9442696629213483; 'f1-score': 0.8667491749174918; 'support': 2225}; '1': {'precision': 0.5974025974025974; 'recall': 0.26062322946175637; 'f1-score': 0.3629191321499014; 'support': 706}; 'accuracy': 0.779597407028318; 'macro avg': {'precision': 0.6991969144085042; 'recall': 0.6024464461915523; 'f1-score': 0.6148341535336966; 'support': 2931}; 'weighted avg': {'precision': 0.7519521404514835; 'recall': 0.779597407028318; 'f1-score': 0.7453899083893721; 'support': 2931}}
l: 5,1,CNF,2,26373,2931,1,[26373; 26373],262,1013.031117,0.776186,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 18 OR X13 == 41],{'0': {'precision': 0.7937696508356776; 'recall': 0.9582480147829996; 'f1-score': 0.868288267903609; 'support': 20023}; '1': {'precision': 0.6201726487960019; 'recall': 0.21496062992125983; 'f1-score': 0.31926090515729155; 'support': 6350}; 'accuracy': 0.7792818412770637; 'macro avg': {'precision': 0.7069711498158398; 'recall': 0.5866043223521297; 'f1-score': 0.5937745865304502; 'support': 26373}; 'weighted avg': {'precision': 0.7519715632858373; 'recall': 0.7792818412770637; 'f1-score': 0.736095352670639; 'support': 26373}},{'0': {'precision': 0.7941507311586051; 'recall': 0.9519101123595506; 'f1-score': 0.865903515944399; 'support': 2225}; '1': {'precision': 0.5946969696969697; 'recall': 0.22237960339943344; 'f1-score': 0.3237113402061856; 'support': 706}; 'accuracy': 0.7761856021835551; 'macro avg': {'precision': 0.6944238504277874; 'recall': 0.587144857879492; 'f1-score': 0.5948074280752923; 'support': 2931}; 'weighted avg': {'precision': 0.7461076210965395; 'recall': 0.7761856021835551; 'f1-score': 0.7353038311708818; 'support': 2931}}
l: 5,1,CNF,3,26373,2931,1,[26373; 26373],262,1017.785265,0.786421,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 41],{'0': {'precision': 0.7934688133769298; 'recall': 0.9574489337262149; 'f1-score': 0.8677801919246787; 'support': 20023}; '1': {'precision': 0.6148282097649186; 'recall': 0.2141732283464567; 'f1-score': 0.31768278439616915; 'support': 6350}; 'accuracy': 0.7784855723656771; 'macro avg': {'precision': 0.7041485115709242; 'recall': 0.5858110810363357; 'f1-score': 0.592731488160424; 'support': 26373}; 'weighted avg': {'precision': 0.7504563448319682; 'recall': 0.7784855723656771; 'f1-score': 0.7353296349988061; 'support': 26373}},{'0': {'precision': 0.7977653631284917; 'recall': 0.9626966292134832; 'f1-score': 0.8725050916496946; 'support': 2225}; '1': {'precision': 0.6626016260162602; 'recall': 0.23087818696883852; 'f1-score': 0.3424369747899159; 'support': 706}; 'accuracy': 0.7864210167178437; 'macro avg': {'precision': 0.730183494572376; 'recall': 0.5967874080911608; 'f1-score': 0.6074710332198052; 'support': 2931}; 'weighted avg': {'precision': 0.7652080112345185; 'recall': 0.7864210167178437; 'f1-score': 0.7448257704272435; 'support': 2931}}
l: 5,1,CNF,4,26374,2930,1,[26374; 26374],262,1011.865390,0.779863,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10 OR X13 == 37],{'0': {'precision': 0.8028577521859671; 'recall': 0.9400689207411477; 'f1-score': 0.866062390724211; 'support': 20023}; '1': {'precision': 0.5903038579720041; 'recall': 0.27224059203275075; 'f1-score': 0.3726293103448276; 'support': 6351}; 'accuracy': 0.7792522939258361; 'macro avg': {'precision': 0.6965808050789857; 'recall': 0.6061547563869492; 'f1-score': 0.6193458505345193; 'support': 26374}; 'weighted avg': {'precision': 0.7516736397209304; 'recall': 0.7792522939258361; 'f1-score': 0.7472410707314353; 'support': 26374}},{'0': {'precision': 0.807153965785381; 'recall': 0.9330337078651686; 'f1-score': 0.8655409631019387; 'support': 2225}; '1': {'precision': 0.5837988826815642; 'recall': 0.29645390070921984; 'f1-score': 0.3932267168391345; 'support': 705}; 'accuracy': 0.7798634812286689; 'macro avg': {'precision': 0.6954764242334726; 'recall': 0.6147438042871942; 'f1-score': 0.6293838399705366; 'support': 2930}; 'weighted avg': {'precision': 0.7534115311136436; 'recall': 0.7798634812286689; 'f1-score': 0.7518953850762469; 'support': 2930}}
l: 5,1,CNF,5,26374,2930,1,[26374; 26374],262,1013.478936,0.782935,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 41],{'0': {'precision': 0.8030393579783147; 'recall': 0.9395195525146082; 'f1-score': 0.8659347741029713; 'support': 20023}; '1': {'precision': 0.58921302578019; 'recall': 0.27350023618327823; 'f1-score': 0.37358855790945267; 'support': 6351}; 'accuracy': 0.7791385455372716; 'macro avg': {'precision': 0.6961261918792523; 'recall': 0.6065098943489432; 'f1-score': 0.619761666006212; 'support': 26374}; 'weighted avg': {'precision': 0.7515488356536658; 'recall': 0.7791385455372716; 'f1-score': 0.7473751768084753; 'support': 26374}},{'0': {'precision': 0.8064018511376784; 'recall': 0.9397752808988764; 'f1-score': 0.8679950186799502; 'support': 2225}; '1': {'precision': 0.6023738872403561; 'recall': 0.28794326241134754; 'f1-score': 0.3896353166986564; 'support': 705}; 'accuracy': 0.7829351535836178; 'macro avg': {'precision': 0.7043878691890173; 'recall': 0.613859271655112; 'f1-score': 0.6288151676893033; 'support': 2930}; 'weighted avg': {'precision': 0.7573097983910531; 'recall': 0.7829351535836178; 'f1-score': 0.7528948173499802; 'support': 2930}}
l: 5,1,CNF,6,26374,2930,1,[26374; 26374],262,1028.920441,0.777474,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 18 OR X13 == 41],{'0': {'precision': 0.7938839692129438; 'recall': 0.9581481296509015; 'f1-score': 0.8683156441648374; 'support': 20023}; '1': {'precision': 0.6204710144927537; 'recall': 0.21571406077783026; 'f1-score': 0.32013085640845895; 'support': 6351}; 'accuracy': 0.7793660423144005; 'macro avg': {'precision': 0.7071774918528487; 'recall': 0.5869310952143658; 'f1-score': 0.5942232502866482; 'support': 26374}; 'weighted avg': {'precision': 0.7521252039354763; 'recall': 0.7793660423144005; 'f1-score': 0.7363098207387071; 'support': 26374}},{'0': {'precision': 0.7924879137225734; 'recall': 0.957752808988764; 'f1-score': 0.8673178673178673; 'support': 2225}; '1': {'precision': 0.6099585062240664; 'recall': 0.20851063829787234; 'f1-score': 0.3107822410147992; 'support': 705}; 'accuracy': 0.7774744027303754; 'macro avg': {'precision': 0.70122320997332; 'recall': 0.5831317236433182; 'f1-score': 0.5890500541663333; 'support': 2930}; 'weighted avg': {'precision': 0.748568721815936; 'recall': 0.7774744027303754; 'f1-score': 0.7334074179855592; 'support': 2930}}
l: 5,1,CNF,7,26374,2930,1,[26374; 26374],262,1023.173126,0.775427,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7939752555137171; 'recall': 0.9582979573490485; 'f1-score': 0.8684317718940937; 'support': 20023}; '1': {'precision': 0.621658359764386; 'recall': 0.21602897181546213; 'f1-score': 0.32063566253797615; 'support': 6351}; 'accuracy': 0.7795556229620081; 'macro avg': {'precision': 0.7078168076390515; 'recall': 0.5871634645822553; 'f1-score': 0.594533717216035; 'support': 26374}; 'weighted avg': {'precision': 0.752480427087843; 'recall': 0.7795556229620081; 'f1-score': 0.7365195443017413; 'support': 26374}},{'0': {'precision': 0.7933358292774242; 'recall': 0.9523595505617978; 'f1-score': 0.8656045751633987; 'support': 2225}; '1': {'precision': 0.5907335907335908; 'recall': 0.2170212765957447; 'f1-score': 0.3174273858921162; 'support': 705}; 'accuracy': 0.7754266211604095; 'macro avg': {'precision': 0.6920347100055075; 'recall': 0.5846904135787713; 'f1-score': 0.5915159805277574; 'support': 2930}; 'weighted avg': {'precision': 0.7445868264878669; 'recall': 0.7754266211604095; 'f1-score': 0.7337052855947113; 'support': 2930}}
l: 5,1,CNF,8,26374,2930,1,[26374; 26374],262,1011.548318,0.770648,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 18 OR X13 == 41],{'0': {'precision': 0.7943867202053235; 'recall': 0.9583499800239712; 'f1-score': 0.8686992145945089; 'support': 20024}; '1': {'precision': 0.6238159675236806; 'recall': 0.21779527559055117; 'f1-score': 0.32286681452083577; 'support': 6350}; 'accuracy': 0.7800485326457876; 'macro avg': {'precision': 0.7091013438645021; 'recall': 0.5880726278072612; 'f1-score': 0.5957830145576724; 'support': 26374}; 'weighted avg': {'precision': 0.7533188397348439; 'recall': 0.7800485326457876; 'f1-score': 0.7372805545327882; 'support': 26374}},{'0': {'precision': 0.7897684839432412; 'recall': 0.9509892086330936; 'f1-score': 0.8629130966952264; 'support': 2224}; '1': {'precision': 0.5674603174603174; 'recall': 0.20254957507082152; 'f1-score': 0.2985386221294363; 'support': 706}; 'accuracy': 0.7706484641638225; 'macro avg': {'precision': 0.6786144007017794; 'recall': 0.5767693918519575; 'f1-score': 0.5807258594123313; 'support': 2930}; 'weighted avg': {'precision': 0.7362020793231238; 'recall': 0.7706484641638225; 'f1-score': 0.7269238888305685; 'support': 2930}}
l: 5,1,CNF,9,26374,2930,1,[26374; 26374],262,1011.334704,0.765870,8,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 17 OR X13 == 41],{'0': {'precision': 0.804612948778296; 'recall': 0.939023172193368; 'f1-score': 0.8666374760906137; 'support': 20024}; '1': {'precision': 0.5936772046589018; 'recall': 0.2809448818897638; 'f1-score': 0.3814003206841262; 'support': 6350}; 'accuracy': 0.7805793584590885; 'macro avg': {'precision': 0.6991450767185989; 'recall': 0.6099840270415658; 'f1-score': 0.62401889838737; 'support': 26374}; 'weighted avg': {'precision': 0.7538264933616677; 'recall': 0.7805793584590885; 'f1-score': 0.749808176900836; 'support': 26374}},{'0': {'precision': 0.793960244648318; 'recall': 0.9339028776978417; 'f1-score': 0.8582644628099173; 'support': 2224}; '1': {'precision': 0.5318471337579618; 'recall': 0.23654390934844194; 'f1-score': 0.32745098039215687; 'support': 706}; 'accuracy': 0.7658703071672355; 'macro avg': {'precision': 0.6629036892031399; 'recall': 0.5852233935231419; 'f1-score': 0.5928577216010371; 'support': 2930}; 'weighted avg': {'precision': 0.730802614515693; 'recall': 0.7658703071672355; 'f1-score': 0.7303619649986753; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26374, 26374], 'n_partitions': 1}, (mean val acc cv) 0.777743 (+- 0.005806), (mean training time) 1016.106437 (+- 5.487382)
