l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],222,1.096734,0.781250,3,[X2 >= 0.190280 OR X3 >= 0.007075 OR X33 >= 0.005400],{'0.0': {'precision': 1.0; 'recall': 0.28431372549019607; 'f1-score': 0.44274809160305345; 'support': 102}; '1.0': {'precision': 0.7137254901960784; 'recall': 1.0; 'f1-score': 0.8329519450800915; 'support': 182}; 'accuracy': 0.7429577464788732; 'macro avg': {'precision': 0.8568627450980393; 'recall': 0.642156862745098; 'f1-score': 0.6378500183415725; 'support': 284}; 'weighted avg': {'precision': 0.8165423916045291; 'recall': 0.7429577464788732; 'f1-score': 0.6928083075636905; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
l: 5,1,CNF,1,284,32,35,[8; 9],222,1.268604,0.781250,1,[X0],{'0.0': {'precision': 1.0; 'recall': 0.29411764705882354; 'f1-score': 0.45454545454545453; 'support': 102}; '1.0': {'precision': 0.7165354330708661; 'recall': 1.0; 'f1-score': 0.8348623853211008; 'support': 182}; 'accuracy': 0.7464788732394366; 'macro avg': {'precision': 0.8582677165354331; 'recall': 0.6470588235294118; 'f1-score': 0.6447039199332777; 'support': 284}; 'weighted avg': {'precision': 0.8183431296440057; 'recall': 0.7464788732394366; 'f1-score': 0.698269684831256; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
l: 5,1,CNF,2,284,32,35,[8; 9],222,1.336962,0.843750,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.47058823529411764; 'f1-score': 0.6399999999999999; 'support': 102}; '1.0': {'precision': 0.7711864406779662; 'recall': 1.0; 'f1-score': 0.8708133971291866; 'support': 182}; 'accuracy': 0.8098591549295775; 'macro avg': {'precision': 0.8855932203389831; 'recall': 0.7352941176470589; 'f1-score': 0.7554066985645933; 'support': 284}; 'weighted avg': {'precision': 0.8533659584626403; 'recall': 0.8098591549295775; 'f1-score': 0.7879156277377182; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8076923076923077; 'recall': 1.0; 'f1-score': 0.8936170212765957; 'support': 21}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9038461538461539; 'recall': 0.7727272727272727; 'f1-score': 0.799749687108886; 'support': 32}; 'weighted avg': {'precision': 0.873798076923077; 'recall': 0.84375; 'f1-score': 0.8290832290362953; 'support': 32}}
l: 5,1,CNF,3,284,32,35,[8; 9],222,1.316075,0.687500,2,[X4 >= 0.418075 OR X32 >= 0.994855],{'0.0': {'precision': 0.8805970149253731; 'recall': 0.5841584158415841; 'f1-score': 0.7023809523809523; 'support': 101}; '1.0': {'precision': 0.8064516129032258; 'recall': 0.9562841530054644; 'f1-score': 0.875; 'support': 183}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8435243139142994; 'recall': 0.7702212844235243; 'f1-score': 0.7886904761904762; 'support': 284}; 'weighted avg': {'precision': 0.83282022418575; 'recall': 0.823943661971831; 'f1-score': 0.8136108316566063; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.3333333333333333; 'f1-score': 0.4444444444444444; 'support': 12}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.9; 'f1-score': 0.7826086956521738; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6794871794871795; 'recall': 0.6166666666666667; 'f1-score': 0.6135265700483091; 'support': 32}; 'weighted avg': {'precision': 0.6826923076923077; 'recall': 0.6875; 'f1-score': 0.6557971014492753; 'support': 32}}
l: 5,1,CNF,4,284,32,35,[8; 9],222,1.295904,0.781250,2,[X4 >= 0.041440 OR X33 < -0.000030],{'0.0': {'precision': 1.0; 'recall': 0.46534653465346537; 'f1-score': 0.6351351351351352; 'support': 101}; '1.0': {'precision': 0.7721518987341772; 'recall': 1.0; 'f1-score': 0.8714285714285713; 'support': 183}; 'accuracy': 0.8098591549295775; 'macro avg': {'precision': 0.8860759493670887; 'recall': 0.7326732673267327; 'f1-score': 0.7532818532818533; 'support': 284}; 'weighted avg': {'precision': 0.8531823854519521; 'recall': 0.8098591549295775; 'f1-score': 0.7873946380988635; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.4166666666666667; 'f1-score': 0.5882352941176471; 'support': 12}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.7083333333333334; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.8379629629629629; 'recall': 0.78125; 'f1-score': 0.7525031289111389; 'support': 32}}
l: 5,1,CNF,5,284,32,35,[8; 9],222,1.422307,0.687500,1,[X3 >= -0.609635],{'0.0': {'precision': 1.0; 'recall': 0.2376237623762376; 'f1-score': 0.384; 'support': 101}; '1.0': {'precision': 0.7038461538461539; 'recall': 1.0; 'f1-score': 0.8261851015801355; 'support': 183}; 'accuracy': 0.7288732394366197; 'macro avg': {'precision': 0.851923076923077; 'recall': 0.6188118811881188; 'f1-score': 0.6050925507900677; 'support': 284}; 'weighted avg': {'precision': 0.8091684723726977; 'recall': 0.7288732394366197; 'f1-score': 0.6689291323562141; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.25; 'f1-score': 0.375; 'support': 12}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.95; 'f1-score': 0.7916666666666667; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.7142857142857143; 'recall': 0.6; 'f1-score': 0.5833333333333334; 'support': 32}; 'weighted avg': {'precision': 0.7053571428571429; 'recall': 0.6875; 'f1-score': 0.6354166666666667; 'support': 32}}
l: 5,1,CNF,6,285,31,35,[8; 9],222,1.653301,0.774194,1,[X30 >= 0.132415],{'0.0': {'precision': 0.6739130434782609; 'recall': 0.6078431372549019; 'f1-score': 0.6391752577319587; 'support': 102}; '1.0': {'precision': 0.7927461139896373; 'recall': 0.8360655737704918; 'f1-score': 0.8138297872340426; 'support': 183}; 'accuracy': 0.7543859649122807; 'macro avg': {'precision': 0.7333295787339491; 'recall': 0.7219543555126968; 'f1-score': 0.7265025224830006; 'support': 285}; 'weighted avg': {'precision': 0.750216383490829; 'recall': 0.7543859649122807; 'f1-score': 0.7513218503596125; 'support': 285}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.7272727272727273; 'f1-score': 0.6956521739130435; 'support': 11}; '1.0': {'precision': 0.8421052631578947; 'recall': 0.8; 'f1-score': 0.8205128205128205; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7543859649122806; 'recall': 0.7636363636363637; 'f1-score': 0.758082497212932; 'support': 31}; 'weighted avg': {'precision': 0.7798528579513299; 'recall': 0.7741935483870968; 'f1-score': 0.7762074297838673; 'support': 31}}
l: 5,1,CNF,7,285,31,35,[8; 9],222,1.614921,0.612903,1,[X10 < 0.999100],{'0.0': {'precision': 0.6226415094339622; 'recall': 0.3235294117647059; 'f1-score': 0.4258064516129032; 'support': 102}; '1.0': {'precision': 0.7025862068965517; 'recall': 0.8907103825136612; 'f1-score': 0.7855421686746987; 'support': 183}; 'accuracy': 0.6877192982456141; 'macro avg': {'precision': 0.662613858165257; 'recall': 0.6071198971391836; 'f1-score': 0.6056743101438009; 'support': 285}; 'weighted avg': {'precision': 0.6739744204362565; 'recall': 0.6877192982456141; 'f1-score': 0.6567946488841614; 'support': 285}},{'0.0': {'precision': 0.4; 'recall': 0.18181818181818182; 'f1-score': 0.25000000000000006; 'support': 11}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.5269230769230769; 'recall': 0.5159090909090909; 'f1-score': 0.49456521739130443; 'support': 31}; 'weighted avg': {'precision': 0.563771712158809; 'recall': 0.6129032258064516; 'f1-score': 0.5655680224403927; 'support': 31}}
l: 5,1,CNF,8,285,31,35,[8; 9],222,1.623489,0.870968,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5588235294117647; 'f1-score': 0.7169811320754718; 'support': 102}; '1.0': {'precision': 0.8026315789473685; 'recall': 1.0; 'f1-score': 0.8905109489051095; 'support': 183}; 'accuracy': 0.8421052631578947; 'macro avg': {'precision': 0.9013157894736843; 'recall': 0.7794117647058824; 'f1-score': 0.8037460404902906; 'support': 285}; 'weighted avg': {'precision': 0.8732686980609419; 'recall': 0.8421052631578947; 'f1-score': 0.8284055407766077; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
l: 5,1,CNF,9,285,31,35,[8; 9],222,1.643897,0.774194,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.49019607843137253; 'f1-score': 0.6578947368421052; 'support': 102}; '1.0': {'precision': 0.7787234042553192; 'recall': 1.0; 'f1-score': 0.8755980861244018; 'support': 183}; 'accuracy': 0.8175438596491228; 'macro avg': {'precision': 0.8893617021276596; 'recall': 0.7450980392156863; 'f1-score': 0.7667464114832535; 'support': 285}; 'weighted avg': {'precision': 0.8579171332586786; 'recall': 0.8175438596491228; 'f1-score': 0.7976832032233694; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 35}, (mean val acc cv) 0.759476 (+- 0.072961), (mean training time) 1.427219 (+- 0.185462)
