l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,582.349270,0.575913,6,[X1 == 5 OR X1 == 6 OR X3 == 10 OR X3 == 14 OR X3 == 15 OR X6 == 12],{'0': {'precision': 0.7790867059345113; 'recall': 0.6143435049692854; 'f1-score': 0.6869764324807328; 'support': 20023}; '1': {'precision': 0.2704770902220123; 'recall': 0.4507951503700205; 'f1-score': 0.3380963627775153; 'support': 6351}; 'accuracy': 0.5749601880640024; 'macro avg': {'precision': 0.5247818980782618; 'recall': 0.5325693276696529; 'f1-score': 0.5125363976291241; 'support': 26374}; 'weighted avg': {'precision': 0.656610795212206; 'recall': 0.5749601880640024; 'f1-score': 0.602964249168185; 'support': 26374}},{'0': {'precision': 0.7799315849486887; 'recall': 0.6148314606741573; 'f1-score': 0.6876099522493089; 'support': 2225}; '1': {'precision': 0.27187765505522515; 'recall': 0.45325779036827196; 'f1-score': 0.3398831651619756; 'support': 706}; 'accuracy': 0.5759126577959741; 'macro avg': {'precision': 0.5259046200019569; 'recall': 0.5340446255212146; 'f1-score': 0.5137465587056422; 'support': 2931}; 'weighted avg': {'precision': 0.6575548962742481; 'recall': 0.5759126577959741; 'f1-score': 0.6038518111085183; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],296,108.258390,0.762538,2,[X1 == 1 OR X3 == 14],{'0': {'precision': 0.7724488984331505; 'recall': 0.9700844029366229; 'f1-score': 0.8600588899466448; 'support': 20023}; '1': {'precision': 0.512214983713355; 'recall': 0.0990395213352228; 'f1-score': 0.16598495843778863; 'support': 6351}; 'accuracy': 0.7603321452946084; 'macro avg': {'precision': 0.6423319410732528; 'recall': 0.5345619621359229; 'f1-score': 0.5130219241922167; 'support': 26374}; 'weighted avg': {'precision': 0.7097831824861792; 'recall': 0.7603321452946084; 'f1-score': 0.6929221818624428; 'support': 26374}},{'0': {'precision': 0.7735241502683363; 'recall': 0.971685393258427; 'f1-score': 0.8613545816733068; 'support': 2225}; '1': {'precision': 0.5367647058823529; 'recall': 0.10339943342776203; 'f1-score': 0.17339667458432304; 'support': 706}; 'accuracy': 0.7625383828045036; 'macro avg': {'precision': 0.6551444280753447; 'recall': 0.5375424133430945; 'f1-score': 0.5173756281288149; 'support': 2931}; 'weighted avg': {'precision': 0.7164950926987341; 'recall': 0.7625383828045036; 'f1-score': 0.6956438063731285; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],296,107.551037,0.693961,4,[X3 == 1 OR X3 == 7 OR X3 == 10 OR X6 == 5],{'0': {'precision': 0.7547177848775293; 'recall': 0.8848324426909054; 'f1-score': 0.8146121660766013; 'support': 20023}; '1': {'precision': 0.2045532942393929; 'recall': 0.09337112265784915; 'f1-score': 0.1282162162162162; 'support': 6351}; 'accuracy': 0.6942443315386365; 'macro avg': {'precision': 0.47963553955846105; 'recall': 0.4891017826743773; 'f1-score': 0.4714141911464087; 'support': 26374}; 'weighted avg': {'precision': 0.6222352384286476; 'recall': 0.6942443315386365; 'f1-score': 0.6493243569629551; 'support': 26374}},{'0': {'precision': 0.7553846153846154; 'recall': 0.8826966292134831; 'f1-score': 0.8140932642487047; 'support': 2225}; '1': {'precision': 0.21148036253776434; 'recall': 0.09915014164305949; 'f1-score': 0.13500482160077146; 'support': 706}; 'accuracy': 0.6939611054247697; 'macro avg': {'precision': 0.4834324889611899; 'recall': 0.4909233854282713; 'f1-score': 0.47454904292473804; 'support': 2931}; 'weighted avg': {'precision': 0.624372536739144; 'recall': 0.6939611054247697; 'f1-score': 0.6505189072001066; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],296,107.617615,0.757762,4,[X1 == 5 OR X1 == 6 OR X5 == 1 OR X10 >= 4401.000000],{'0': {'precision': 0.8083164756124972; 'recall': 0.898017280127853; 'f1-score': 0.8508091227406076; 'support': 20023}; '1': {'precision': 0.5054492613223541; 'recall': 0.3286096677688553; 'f1-score': 0.3982824427480916; 'support': 6351}; 'accuracy': 0.7609008872374308; 'macro avg': {'precision': 0.6568828684674257; 'recall': 0.6133134739483541; 'f1-score': 0.6245457827443496; 'support': 26374}; 'weighted avg': {'precision': 0.7353844335272353; 'recall': 0.7609008872374308; 'f1-score': 0.7418382823435321; 'support': 26374}},{'0': {'precision': 0.8058134840532902; 'recall': 0.8970786516853932; 'f1-score': 0.8490004253509145; 'support': 2225}; '1': {'precision': 0.4955947136563877; 'recall': 0.31869688385269124; 'f1-score': 0.3879310344827586; 'support': 706}; 'accuracy': 0.7577618560218355; 'macro avg': {'precision': 0.6507040988548389; 'recall': 0.6078877677690422; 'f1-score': 0.6184657299168366; 'support': 2931}; 'weighted avg': {'precision': 0.7310900272466668; 'recall': 0.7577618560218355; 'f1-score': 0.737941063374484; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],296,107.304927,0.733197,3,[X3 == 14 OR X6 == 4 OR X7 == 2],{'0': {'precision': 0.7978665207877462; 'recall': 0.8740947909903611; 'f1-score': 0.8342429514526085; 'support': 20023}; '1': {'precision': 0.4319513294276701; 'recall': 0.30184222957014645; 'f1-score': 0.35536194271943644; 'support': 6351}; 'accuracy': 0.7362933191779784; 'macro avg': {'precision': 0.6149089251077082; 'recall': 0.5879685102802538; 'f1-score': 0.5948024470860225; 'support': 26374}; 'weighted avg': {'precision': 0.7097521892366792; 'recall': 0.7362933191779784; 'f1-score': 0.7189258479997997; 'support': 26374}},{'0': {'precision': 0.7992534218166736; 'recall': 0.8660674157303371; 'f1-score': 0.8313201035375323; 'support': 2225}; '1': {'precision': 0.4269230769230769; 'recall': 0.31444759206798867; 'f1-score': 0.3621533442088092; 'support': 706}; 'accuracy': 0.7331968611395429; 'macro avg': {'precision': 0.6130882493698753; 'recall': 0.5902575038991629; 'f1-score': 0.5967367238731707; 'support': 2931}; 'weighted avg': {'precision': 0.709568937512723; 'recall': 0.7331968611395429; 'f1-score': 0.718310300710484; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],296,107.609469,0.778157,2,[X1 == 2 OR X10 >= 5119.000000],{'0': {'precision': 0.7983747447243023; 'recall': 0.9371722519103032; 'f1-score': 0.8622234475153353; 'support': 20023}; '1': {'precision': 0.5618251480320445; 'recall': 0.25393576826196473; 'f1-score': 0.34977772958907083; 'support': 6352}; 'accuracy': 0.7726255924170616; 'macro avg': {'precision': 0.6800999463781734; 'recall': 0.595554010086134; 'f1-score': 0.6060005885522031; 'support': 26375}; 'weighted avg': {'precision': 0.7414055300062276; 'recall': 0.7726255924170616; 'f1-score': 0.7388090323393113; 'support': 26375}},{'0': {'precision': 0.8023032629558541; 'recall': 0.9393258426966292; 'f1-score': 0.865424430641822; 'support': 2225}; '1': {'precision': 0.5846153846153846; 'recall': 0.2695035460992908; 'f1-score': 0.36893203883495146; 'support': 705}; 'accuracy': 0.7781569965870307; 'macro avg': {'precision': 0.6934593237856194; 'recall': 0.60441469439796; 'f1-score': 0.6171782347383867; 'support': 2930}; 'weighted avg': {'precision': 0.7499244389865601; 'recall': 0.7781569965870307; 'f1-score': 0.7459612442173019; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],296,105.424212,0.726621,7,[X3 == 12 OR X3 == 14 OR X5 == 1 OR X5 == 3 OR X6 == 11 OR X6 == 14 OR X11 >= 1551.500000],{'0': {'precision': 0.797324911759242; 'recall': 0.8574139739299805; 'f1-score': 0.8262784261821682; 'support': 20023}; '1': {'precision': 0.41048936609539544; 'recall': 0.31297229219143574; 'f1-score': 0.35515855292541315; 'support': 6352}; 'accuracy': 0.7262938388625593; 'macro avg': {'precision': 0.6039071389273187; 'recall': 0.5851931330607081; 'f1-score': 0.5907184895537907; 'support': 26375}; 'weighted avg': {'precision': 0.7041617122878959; 'recall': 0.7262938388625593; 'f1-score': 0.7128166845735651; 'support': 26375}},{'0': {'precision': 0.7984073763621123; 'recall': 0.8561797752808988; 'f1-score': 0.826284970722186; 'support': 2225}; '1': {'precision': 0.4117647058823529; 'recall': 0.3177304964539007; 'f1-score': 0.3586869495596477; 'support': 705}; 'accuracy': 0.7266211604095563; 'macro avg': {'precision': 0.6050860411222326; 'recall': 0.5869551358673998; 'f1-score': 0.5924859601409168; 'support': 2930}; 'weighted avg': {'precision': 0.7053756075265388; 'recall': 0.7266211604095563; 'f1-score': 0.7137741840602101; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],296,109.172663,0.769966,4,[X1 == 1 OR X1 == 5 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.800780234070221; 'recall': 0.9226389651900314; 'f1-score': 0.8574014341076276; 'support': 20023}; '1': {'precision': 0.5313161875945537; 'recall': 0.276448362720403; 'f1-score': 0.3636740188464327; 'support': 6352}; 'accuracy': 0.7670142180094787; 'macro avg': {'precision': 0.6660482108323873; 'recall': 0.5995436639552172; 'f1-score': 0.6105377264770302; 'support': 26375}; 'weighted avg': {'precision': 0.7358840966971996; 'recall': 0.7670142180094787; 'f1-score': 0.7384950249421637; 'support': 26375}},{'0': {'precision': 0.8066429418742586; 'recall': 0.9168539325842696; 'f1-score': 0.8582246529238536; 'support': 2225}; '1': {'precision': 0.5386533665835411; 'recall': 0.30638297872340425; 'f1-score': 0.39059674502712477; 'support': 705}; 'accuracy': 0.7699658703071672; 'macro avg': {'precision': 0.6726481542288998; 'recall': 0.6116184556538369; 'f1-score': 0.6244106989754892; 'support': 2930}; 'weighted avg': {'precision': 0.7421608085705194; 'recall': 0.7699658703071672; 'f1-score': 0.7457066750852209; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],296,108.922727,0.548805,6,[X0 >= 35.500000 OR X1 == 2 OR X3 == 10 OR X3 == 12 OR X6 == 5 OR X6 == 10],{'0': {'precision': 0.9075236671649227; 'recall': 0.4548042349180983; 'f1-score': 0.6059416480920856; 'support': 20024}; '1': {'precision': 0.3318849449204406; 'recall': 0.8538812785388128; 'f1-score': 0.4779868670397955; 'support': 6351}; 'accuracy': 0.5509004739336493; 'macro avg': {'precision': 0.6197043060426817; 'recall': 0.6543427567284555; 'f1-score': 0.5419642575659406; 'support': 26375}; 'weighted avg': {'precision': 0.768912045364934; 'recall': 0.5509004739336493; 'f1-score': 0.5751306219513047; 'support': 26375}},{'0': {'precision': 0.9070397111913358; 'recall': 0.4518884892086331; 'f1-score': 0.6032412965186075; 'support': 2224}; '1': {'precision': 0.33095499451152577; 'recall': 0.8541076487252125; 'f1-score': 0.4770569620253164; 'support': 706}; 'accuracy': 0.5488054607508532; 'macro avg': {'precision': 0.6189973528514308; 'recall': 0.6529980689669228; 'f1-score': 0.5401491292719619; 'support': 2930}; 'weighted avg': {'precision': 0.7682288545442553; 'recall': 0.5488054607508532; 'f1-score': 0.5728364705280738; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],296,100.386696,0.779181,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X10 >= 57.000000 OR X13 == 14],{'0': {'precision': 0.8220187583742742; 'recall': 0.919147023571714; 'f1-score': 0.8678738152496818; 'support': 20024}; '1': {'precision': 0.5937264742785445; 'recall': 0.37253975751850105; 'f1-score': 0.4578173374613003; 'support': 6351}; 'accuracy': 0.7875260663507109; 'macro avg': {'precision': 0.7078726163264093; 'recall': 0.6458433905451075; 'f1-score': 0.662845576355491; 'support': 26375}; 'weighted avg': {'precision': 0.7670468419271849; 'recall': 0.7875260663507109; 'f1-score': 0.769133770114743; 'support': 26375}},{'0': {'precision': 0.8222313036371066; 'recall': 0.9046762589928058; 'f1-score': 0.8614857632198673; 'support': 2224}; '1': {'precision': 0.5610766045548654; 'recall': 0.3838526912181303; 'f1-score': 0.4558452481076535; 'support': 706}; 'accuracy': 0.7791808873720136; 'macro avg': {'precision': 0.6916539540959861; 'recall': 0.644264475105468; 'f1-score': 0.6586655056637604; 'support': 2930}; 'weighted avg': {'precision': 0.7593046082268464; 'recall': 0.7791808873720136; 'f1-score': 0.7637443967798595; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.712610 (+- 0.079395), (mean training time) 154.459701 (+- 142.649944)
