l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,619.520711,0.736267,2,[X1 == 1 OR X3 == 8],{'0': {'precision': 0.7635556279789791; 'recall': 0.9360735154572242; 'f1-score': 0.8410590083015482; 'support': 20023}; '1': {'precision': 0.29939792008757526; 'recall': 0.08612816879231618; 'f1-score': 0.13377353876253364; 'support': 6351}; 'accuracy': 0.731402138469705; 'macro avg': {'precision': 0.5314767740332772; 'recall': 0.5111008421247701; 'f1-score': 0.4874162735320409; 'support': 26374}; 'weighted avg': {'precision': 0.6517839739705501; 'recall': 0.731402138469705; 'f1-score': 0.6707408913286854; 'support': 26374}},{'0': {'precision': 0.7680945347119645; 'recall': 0.9348314606741573; 'f1-score': 0.8433002229880396; 'support': 2225}; '1': {'precision': 0.34977578475336324; 'recall': 0.11048158640226628; 'f1-score': 0.16792249730893433; 'support': 706}; 'accuracy': 0.7362674854998295; 'macro avg': {'precision': 0.5589351597326639; 'recall': 0.5226565235382118; 'f1-score': 0.505611360148487; 'support': 2931}; 'weighted avg': {'precision': 0.6673326659058326; 'recall': 0.7362674854998295; 'f1-score': 0.680619679033946; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],296,107.187978,0.755715,3,[X3 == 4 OR X3 == 12 OR X13 == 21],{'0': {'precision': 0.7749533771183005; 'recall': 0.9546521500274684; 'f1-score': 0.8554677884938128; 'support': 20023}; '1': {'precision': 0.468384074941452; 'recall': 0.1259644150527476; 'f1-score': 0.19853579848616454; 'support': 6351}; 'accuracy': 0.7550997194206416; 'macro avg': {'precision': 0.6216687260298762; 'recall': 0.540308282540108; 'f1-score': 0.5270017934899887; 'support': 26374}; 'weighted avg': {'precision': 0.7011298525059867; 'recall': 0.7550997194206416; 'f1-score': 0.6972750582087376; 'support': 26374}},{'0': {'precision': 0.7732705541470482; 'recall': 0.9595505617977528; 'f1-score': 0.8563979141596471; 'support': 2225}; '1': {'precision': 0.47058823529411764; 'recall': 0.11331444759206799; 'f1-score': 0.182648401826484; 'support': 706}; 'accuracy': 0.7557147731149778; 'macro avg': {'precision': 0.6219293947205828; 'recall': 0.5364325046949103; 'f1-score': 0.5195231579930655; 'support': 2931}; 'weighted avg': {'precision': 0.7003624282138619; 'recall': 0.7557147731149778; 'f1-score': 0.6941095635260022; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],296,106.725210,0.746844,4,[X1 == 7 OR X3 == 2 OR X10 >= 57.000000 OR X13 == 20],{'0': {'precision': 0.7929421025013119; 'recall': 0.9056085501673076; 'f1-score': 0.8455386911006971; 'support': 20023}; '1': {'precision': 0.46092413006274957; 'recall': 0.25444811840655013; 'f1-score': 0.3278888099827533; 'support': 6351}; 'accuracy': 0.7488056419200728; 'macro avg': {'precision': 0.6269331162820307; 'recall': 0.5800283342869288; 'f1-score': 0.5867137505417253; 'support': 26374}; 'weighted avg': {'precision': 0.7129904022299345; 'recall': 0.7488056419200728; 'f1-score': 0.7208858362064808; 'support': 26374}},{'0': {'precision': 0.7897616256350137; 'recall': 0.908314606741573; 'f1-score': 0.8448996655518395; 'support': 2225}; '1': {'precision': 0.45161290322580644; 'recall': 0.23796033994334279; 'f1-score': 0.3116883116883117; 'support': 706}; 'accuracy': 0.7468440805185943; 'macro avg': {'precision': 0.6206872644304101; 'recall': 0.5731374733424579; 'f1-score': 0.5782939886200755; 'support': 2931}; 'weighted avg': {'precision': 0.7083105857097663; 'recall': 0.7468440805185943; 'f1-score': 0.7164632220760119; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],296,107.695146,0.741044,3,[X3 == 9 OR X3 == 10 OR X3 == 14],{'0': {'precision': 0.8136742477751094; 'recall': 0.8630075413274734; 'f1-score': 0.8376151236063984; 'support': 20023}; '1': {'precision': 0.466030757251314; 'recall': 0.3769485120453472; 'f1-score': 0.41678272980501396; 'support': 6351}; 'accuracy': 0.7459619322059604; 'macro avg': {'precision': 0.6398525025132117; 'recall': 0.6199780266864103; 'f1-score': 0.6271989267057062; 'support': 26374}; 'weighted avg': {'precision': 0.729959839330557; 'recall': 0.7459619322059604; 'f1-score': 0.7362764365269796; 'support': 26374}},{'0': {'precision': 0.8111205432937182; 'recall': 0.8588764044943821; 'f1-score': 0.8343156516044532; 'support': 2225}; '1': {'precision': 0.4539130434782609; 'recall': 0.3696883852691218; 'f1-score': 0.4074941451990632; 'support': 706}; 'accuracy': 0.7410440122824974; 'macro avg': {'precision': 0.6325167933859895; 'recall': 0.614282394881752; 'f1-score': 0.6209048984017582; 'support': 2931}; 'weighted avg': {'precision': 0.7250787504347237; 'recall': 0.7410440122824974; 'f1-score': 0.7315056947562084; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],296,107.002233,0.742750,4,[X1 == 7 OR X3 == 12 OR X5 == 1 OR X13 == 22],{'0': {'precision': 0.7781709195354451; 'recall': 0.933626329720821; 'f1-score': 0.848839849248513; 'support': 20023}; '1': {'precision': 0.43470863462356446; 'recall': 0.16091954022988506; 'f1-score': 0.2348885313720984; 'support': 6351}; 'accuracy': 0.7475544096458634; 'macro avg': {'precision': 0.6064397770795048; 'recall': 0.547272934975353; 'f1-score': 0.5418641903103056; 'support': 26374}; 'weighted avg': {'precision': 0.6954633677239885; 'recall': 0.7475544096458634; 'f1-score': 0.7009970942688698; 'support': 26374}},{'0': {'precision': 0.7791271347248577; 'recall': 0.9226966292134832; 'f1-score': 0.8448559670781893; 'support': 2225}; '1': {'precision': 0.4189189189189189; 'recall': 0.17563739376770537; 'f1-score': 0.24750499001996012; 'support': 706}; 'accuracy': 0.7427499147048788; 'macro avg': {'precision': 0.5990230268218883; 'recall': 0.5491670114905942; 'f1-score': 0.5461804785490747; 'support': 2931}; 'weighted avg': {'precision': 0.6923625491366651; 'recall': 0.7427499147048788; 'f1-score': 0.7009699930750812; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],296,106.440119,0.673720,4,[X3 == 9 OR X3 == 10 OR X3 == 12 OR X6 == 3],{'0': {'precision': 0.8349243306169966; 'recall': 0.7163761674074814; 'f1-score': 0.7711206085530737; 'support': 20023}; '1': {'precision': 0.38238172920065255; 'recall': 0.5535264483627204; 'f1-score': 0.4523059111082524; 'support': 6352}; 'accuracy': 0.6771563981042654; 'macro avg': {'precision': 0.6086530299088245; 'recall': 0.6349513078851009; 'f1-score': 0.611713259830663; 'support': 26375}; 'weighted avg': {'precision': 0.7259366299839495; 'recall': 0.6771563981042654; 'f1-score': 0.6943391504234243; 'support': 26375}},{'0': {'precision': 0.8309859154929577; 'recall': 0.7159550561797753; 'f1-score': 0.7691936262675035; 'support': 2225}; '1': {'precision': 0.3761105626850938; 'recall': 0.5404255319148936; 'f1-score': 0.4435389988358556; 'support': 705}; 'accuracy': 0.6737201365187714; 'macro avg': {'precision': 0.6035482390890258; 'recall': 0.6281902940473345; 'f1-score': 0.6063663125516796; 'support': 2930}; 'weighted avg': {'precision': 0.721536385209837; 'recall': 0.6737201365187714; 'f1-score': 0.6908364548206394; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],296,106.130692,0.694198,3,[X1 == 1 OR X6 == 12 OR X13 == 41],{'0': {'precision': 0.7666255071441171; 'recall': 0.8682015681965739; 'f1-score': 0.8142579451509403; 'support': 20023}; '1': {'precision': 0.2865639361989727; 'recall': 0.1668765743073048; 'f1-score': 0.2109242861406825; 'support': 6352}; 'accuracy': 0.6992985781990522; 'macro avg': {'precision': 0.526594721671545; 'recall': 0.5175390712519393; 'f1-score': 0.5125911156458114; 'support': 26375}; 'weighted avg': {'precision': 0.6510102996126078; 'recall': 0.6992985781990522; 'f1-score': 0.6689546123724319; 'support': 26375}},{'0': {'precision': 0.767189384800965; 'recall': 0.8575280898876404; 'f1-score': 0.8098471986417658; 'support': 2225}; '1': {'precision': 0.28442437923250563; 'recall': 0.17872340425531916; 'f1-score': 0.21951219512195122; 'support': 705}; 'accuracy': 0.6941979522184301; 'macro avg': {'precision': 0.5258068820167353; 'recall': 0.5181257470714797; 'f1-score': 0.5146796968818586; 'support': 2930}; 'weighted avg': {'precision': 0.6510292042802265; 'recall': 0.6941979522184301; 'f1-score': 0.6678041346549163; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],296,108.629331,0.708874,3,[X0 >= 61.500000 OR X1 == 7 OR X3 == 14],{'0': {'precision': 0.7681103542817975; 'recall': 0.8954702092593517; 'f1-score': 0.8269150947747083; 'support': 20023}; '1': {'precision': 0.3096965699208443; 'recall': 0.14782745591939547; 'f1-score': 0.20012787723785166; 'support': 6352}; 'accuracy': 0.7154123222748815; 'macro avg': {'precision': 0.5389034621013209; 'recall': 0.5216488325893736; 'f1-score': 0.51352148600628; 'support': 26375}; 'weighted avg': {'precision': 0.657708672452005; 'recall': 0.7154123222748815; 'f1-score': 0.6759633447919932; 'support': 26375}},{'0': {'precision': 0.7660977501939488; 'recall': 0.8876404494382022; 'f1-score': 0.822402665001041; 'support': 2225}; '1': {'precision': 0.2897727272727273; 'recall': 0.14468085106382977; 'f1-score': 0.19299905392620623; 'support': 705}; 'accuracy': 0.7088737201365187; 'macro avg': {'precision': 0.527935238733338; 'recall': 0.516160650251016; 'f1-score': 0.5077008594636236; 'support': 2930}; 'weighted avg': {'precision': 0.6514871218118801; 'recall': 0.7088737201365186; 'f1-score': 0.6709591340086318; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],296,115.873163,0.765529,2,[X3 == 10 OR X7 == 5],{'0': {'precision': 0.7778629650552821; 'recall': 0.9626947662804635; 'f1-score': 0.8604651162790696; 'support': 20024}; '1': {'precision': 0.5310734463276836; 'recall': 0.13320736891828058; 'f1-score': 0.21299093655589124; 'support': 6351}; 'accuracy': 0.762957345971564; 'macro avg': {'precision': 0.6544682056914828; 'recall': 0.5479510675993721; 'f1-score': 0.5367280264174804; 'support': 26375}; 'weighted avg': {'precision': 0.7184369846405342; 'recall': 0.762957345971564; 'f1-score': 0.7045557886801349; 'support': 26375}},{'0': {'precision': 0.7773367015517864; 'recall': 0.9685251798561151; 'f1-score': 0.8624624624624624; 'support': 2224}; '1': {'precision': 0.559748427672956; 'recall': 0.12606232294617564; 'f1-score': 0.20578034682080926; 'support': 706}; 'accuracy': 0.7655290102389078; 'macro avg': {'precision': 0.6685425646123712; 'recall': 0.5472937514011453; 'f1-score': 0.5341214046416358; 'support': 2930}; 'weighted avg': {'precision': 0.7249075816342252; 'recall': 0.7655290102389078; 'f1-score': 0.7042312086593884; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],296,99.091494,0.709215,5,[X1 == 2 OR X3 == 8 OR X6 == 4 OR X13 == 9 OR X13 == 41],{'0': {'precision': 0.8000485790624241; 'recall': 0.8224630443467839; 'f1-score': 0.8111009874658326; 'support': 20024}; '1': {'precision': 0.3860103626943005; 'recall': 0.3519130845536136; 'f1-score': 0.36817395601680253; 'support': 6351}; 'accuracy': 0.7091563981042655; 'macro avg': {'precision': 0.5930294708783623; 'recall': 0.5871880644501988; 'f1-score': 0.5896374717413175; 'support': 26375}; 'weighted avg': {'precision': 0.7003497463741226; 'recall': 0.7091563981042655; 'f1-score': 0.7044458376371011; 'support': 26375}},{'0': {'precision': 0.8038086802480071; 'recall': 0.8160971223021583; 'f1-score': 0.8099062918340026; 'support': 2224}; '1': {'precision': 0.3913690476190476; 'recall': 0.37252124645892354; 'f1-score': 0.38171262699564584; 'support': 706}; 'accuracy': 0.7092150170648465; 'macro avg': {'precision': 0.5975888639335274; 'recall': 0.5943091843805409; 'f1-score': 0.5958094594148242; 'support': 2930}; 'weighted avg': {'precision': 0.7044290281537936; 'recall': 0.7092150170648465; 'f1-score': 0.7067306169616887; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.727416 (+- 0.027914), (mean training time) 158.429608 (+- 153.744278)
