l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,580.051583,0.675196,5,[X3 == 6 OR X3 == 8 OR X6 == 12 OR X7 == 5 OR X13 == 21],{'0': {'precision': 0.7736779133764058; 'recall': 0.8073715227488388; 'f1-score': 0.7901656972481549; 'support': 20023}; '1': {'precision': 0.29603942325241833; 'recall': 0.25539285151944574; 'f1-score': 0.274218089602705; 'support': 6351}; 'accuracy': 0.6744521119284144; 'macro avg': {'precision': 0.5348586683144121; 'recall': 0.5313821871341423; 'f1-score': 0.5321918934254299; 'support': 26374}; 'weighted avg': {'precision': 0.6586600150379875; 'recall': 0.6744521119284144; 'f1-score': 0.6659227588938571; 'support': 26374}},{'0': {'precision': 0.7766188613646241; 'recall': 0.8031460674157304; 'f1-score': 0.7896597437030491; 'support': 2225}; '1': {'precision': 0.3047619047619048; 'recall': 0.2719546742209632; 'f1-score': 0.28742514970059885; 'support': 706}; 'accuracy': 0.6751961787785739; 'macro avg': {'precision': 0.5406903830632644; 'recall': 0.5375503708183468; 'f1-score': 0.538542446701824; 'support': 2931}; 'weighted avg': {'precision': 0.662961061514225; 'recall': 0.6751961787785739; 'f1-score': 0.6686847783786787; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],296,108.385293,0.795974,4,[X1 == 5 OR X3 == 10 OR X7 == 5 OR X10 >= 5119.000000],{'0': {'precision': 0.821645210560768; 'recall': 0.9403186335713929; 'f1-score': 0.8769854208393497; 'support': 20023}; '1': {'precision': 0.6545244290257299; 'recall': 0.3564792945992757; 'f1-score': 0.4615698267074414; 'support': 6351}; 'accuracy': 0.7997270038674452; 'macro avg': {'precision': 0.738084819793249; 'recall': 0.6483989640853343; 'f1-score': 0.6692776237733955; 'support': 26374}; 'weighted avg': {'precision': 0.7814016341776244; 'recall': 0.7997270038674452; 'f1-score': 0.7769511280384189; 'support': 26374}},{'0': {'precision': 0.8183953033268102; 'recall': 0.9397752808988764; 'f1-score': 0.8748953974895397; 'support': 2225}; '1': {'precision': 0.6436170212765957; 'recall': 0.34277620396600567; 'f1-score': 0.44731977818853974; 'support': 706}; 'accuracy': 0.7959740702831798; 'macro avg': {'precision': 0.731006162301703; 'recall': 0.641275742432441; 'f1-score': 0.6611075878390398; 'support': 2931}; 'weighted avg': {'precision': 0.7762958604310574; 'recall': 0.7959740702831798; 'f1-score': 0.7719037948875248; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],296,108.507253,0.709314,8,[X3 == 8 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X6 == 12 OR X13 == 5 OR X13 == 9 OR X13 == 34],{'0': {'precision': 0.7957818678904457; 'recall': 0.8140638265994107; 'f1-score': 0.8048190391546931; 'support': 20023}; '1': {'precision': 0.36801901205228316; 'recall': 0.341363564792946; 'f1-score': 0.3541904917497141; 'support': 6351}; 'accuracy': 0.7002350800030333; 'macro avg': {'precision': 0.5819004399713644; 'recall': 0.5777136956961784; 'f1-score': 0.5795047654522036; 'support': 26374}; 'weighted avg': {'precision': 0.6927742885536682; 'recall': 0.7002350800030333; 'f1-score': 0.6963052792180502; 'support': 26374}},{'0': {'precision': 0.7986080904741192; 'recall': 0.8251685393258427; 'f1-score': 0.8116710875331564; 'support': 2225}; '1': {'precision': 0.38449367088607594; 'recall': 0.34419263456090654; 'f1-score': 0.3632286995515695; 'support': 706}; 'accuracy': 0.7093142272262026; 'macro avg': {'precision': 0.5915508806800975; 'recall': 0.5846805869433747; 'f1-score': 0.587449893542363; 'support': 2931}; 'weighted avg': {'precision': 0.6988589331117314; 'recall': 0.7093142272262026; 'f1-score': 0.7036532349521258; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],296,107.576086,0.771750,4,[X1 == 5 OR X3 == 12 OR X6 == 10 OR X10 >= 57.000000],{'0': {'precision': 0.8379816057668407; 'recall': 0.8418318933226789; 'f1-score': 0.8399023369375654; 'support': 20023}; '1': {'precision': 0.49400862757629016; 'recall': 0.48685246417886946; 'f1-score': 0.49040444091990476; 'support': 6351}; 'accuracy': 0.756350951694851; 'macro avg': {'precision': 0.6659951166715654; 'recall': 0.6643421787507742; 'f1-score': 0.6651533889287351; 'support': 26374}; 'weighted avg': {'precision': 0.7551510762874979; 'recall': 0.756350951694851; 'f1-score': 0.7557413777501778; 'support': 26374}},{'0': {'precision': 0.8526745240253853; 'recall': 0.8453932584269663; 'f1-score': 0.8490182802979012; 'support': 2225}; '1': {'precision': 0.5255172413793103; 'recall': 0.5396600566572238; 'f1-score': 0.5324947589098532; 'support': 706}; 'accuracy': 0.7717502558853634; 'macro avg': {'precision': 0.6890958827023479; 'recall': 0.6925266575420951; 'f1-score': 0.6907565196038772; 'support': 2931}; 'weighted avg': {'precision': 0.7738710298090329; 'recall': 0.7717502558853634; 'f1-score': 0.7727761765449288; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],296,106.880001,0.754009,3,[X3 == 9 OR X3 == 14 OR X10 >= 57.000000],{'0': {'precision': 0.830654821321621; 'recall': 0.8311941267542327; 'f1-score': 0.8309243865298684; 'support': 20023}; '1': {'precision': 0.46670874092773745; 'recall': 0.4657534246575342; 'f1-score': 0.46623059342737805; 'support': 6351}; 'accuracy': 0.7431940547508911; 'macro avg': {'precision': 0.6486817811246792; 'recall': 0.6484737757058834; 'f1-score': 0.6485774899786232; 'support': 26374}; 'weighted avg': {'precision': 0.7430146622034913; 'recall': 0.7431940547508911; 'f1-score': 0.7431041741997739; 'support': 26374}},{'0': {'precision': 0.8408884859474162; 'recall': 0.8337078651685393; 'f1-score': 0.8372827804107424; 'support': 2225}; '1': {'precision': 0.4896551724137931; 'recall': 0.5028328611898017; 'f1-score': 0.49615653389238296; 'support': 706}; 'accuracy': 0.7540088706925964; 'macro avg': {'precision': 0.6652718291806046; 'recall': 0.6682703631791705; 'f1-score': 0.6667196571515627; 'support': 2931}; 'weighted avg': {'precision': 0.7562857157820331; 'recall': 0.7540088706925964; 'f1-score': 0.7551145340641162; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],296,107.499419,0.614676,5,[X1 == 1 OR X1 == 7 OR X3 == 12 OR X3 == 15 OR X5 == 1],{'0': {'precision': 0.7740979020979021; 'recall': 0.6910552864206163; 'f1-score': 0.7302232307773497; 'support': 20023}; '1': {'precision': 0.2722352941176471; 'recall': 0.3642947103274559; 'f1-score': 0.31160786426070564; 'support': 6352}; 'accuracy': 0.6123601895734597; 'macro avg': {'precision': 0.5231665981077745; 'recall': 0.5276749983740361; 'f1-score': 0.5209155475190277; 'support': 26375}; 'weighted avg': {'precision': 0.6532322609266953; 'recall': 0.6123601895734597; 'f1-score': 0.6294063660147442; 'support': 26375}},{'0': {'precision': 0.7699507389162562; 'recall': 0.7024719101123595; 'f1-score': 0.7346650998824912; 'support': 2225}; '1': {'precision': 0.2644444444444444; 'recall': 0.3375886524822695; 'f1-score': 0.2965732087227414; 'support': 705}; 'accuracy': 0.6146757679180888; 'macro avg': {'precision': 0.5171975916803503; 'recall': 0.5200302812973145; 'f1-score': 0.5156191543026163; 'support': 2930}; 'weighted avg': {'precision': 0.6483186783010251; 'recall': 0.6146757679180888; 'f1-score': 0.6292539110539507; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],296,105.658686,0.676451,5,[X1 == 7 OR X3 == 10 OR X3 == 14 OR X7 == 5 OR X12 >= 41.500000],{'0': {'precision': 0.8527872992964098; 'recall': 0.7082355291414872; 'f1-score': 0.7738186183564334; 'support': 20023}; '1': {'precision': 0.4005745947055202; 'recall': 0.6146095717884131; 'f1-score': 0.48502919617343765; 'support': 6352}; 'accuracy': 0.6856872037914692; 'macro avg': {'precision': 0.626680947000965; 'recall': 0.6614225504649502; 'f1-score': 0.6294239072649355; 'support': 26375}; 'weighted avg': {'precision': 0.7438790490760749; 'recall': 0.6856872037914692; 'f1-score': 0.7042682710689874; 'support': 26375}},{'0': {'precision': 0.8589094997189433; 'recall': 0.6867415730337079; 'f1-score': 0.7632367632367633; 'support': 2225}; '1': {'precision': 0.3944396177237185; 'recall': 0.6439716312056738; 'f1-score': 0.48922413793103453; 'support': 705}; 'accuracy': 0.6764505119453925; 'macro avg': {'precision': 0.6266745587213309; 'recall': 0.6653566021196908; 'f1-score': 0.6262304505838989; 'support': 2930}; 'weighted avg': {'precision': 0.7471513881808431; 'recall': 0.6764505119453925; 'f1-score': 0.6973053977621767; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],296,108.768914,0.716724,3,[X1 == 2 OR X1 == 5 OR X1 == 7],{'0': {'precision': 0.7774796569166483; 'recall': 0.8827847974828946; 'f1-score': 0.8267926469900369; 'support': 20023}; '1': {'precision': 0.35521978021978023; 'recall': 0.20355793450881612; 'f1-score': 0.2588070456365092; 'support': 6352}; 'accuracy': 0.7192037914691943; 'macro avg': {'precision': 0.5663497185682143; 'recall': 0.5431713659958554; 'f1-score': 0.542799846313273; 'support': 26375}; 'weighted avg': {'precision': 0.6757850697402121; 'recall': 0.7192037914691943; 'f1-score': 0.6900023326849143; 'support': 26375}},{'0': {'precision': 0.7791116446578632; 'recall': 0.8750561797752809; 'f1-score': 0.8243014394580864; 'support': 2225}; '1': {'precision': 0.35498839907192575; 'recall': 0.2170212765957447; 'f1-score': 0.26936619718309857; 'support': 705}; 'accuracy': 0.7167235494880546; 'macro avg': {'precision': 0.5670500218648945; 'recall': 0.5460387281855128; 'f1-score': 0.5468338183205925; 'support': 2930}; 'weighted avg': {'precision': 0.6770615121875267; 'recall': 0.7167235494880546; 'f1-score': 0.6907760654635927; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],296,109.635551,0.611945,3,[X0 >= 43.500000 OR X3 == 14 OR X6 == 3],{'0': {'precision': 0.8236909066559529; 'recall': 0.6143128246104674; 'f1-score': 0.7037587962698095; 'support': 20024}; '1': {'precision': 0.324971593392186; 'recall': 0.5854196189576445; 'f1-score': 0.41794064748201437; 'support': 6351}; 'accuracy': 0.6073554502369668; 'macro avg': {'precision': 0.5743312500240695; 'recall': 0.599866221784056; 'f1-score': 0.560849721875912; 'support': 26375}; 'weighted avg': {'precision': 0.7036011869009506; 'recall': 0.6073554502369668; 'f1-score': 0.6349348697124148; 'support': 26375}},{'0': {'precision': 0.8240906380441264; 'recall': 0.6214028776978417; 'f1-score': 0.7085362727505767; 'support': 2224}; '1': {'precision': 0.3280127693535515; 'recall': 0.5821529745042493; 'f1-score': 0.4196018376722818; 'support': 706}; 'accuracy': 0.6119453924914676; 'macro avg': {'precision': 0.576051703698839; 'recall': 0.6017779261010455; 'f1-score': 0.5640690552114292; 'support': 2930}; 'weighted avg': {'precision': 0.7045578819705612; 'recall': 0.6119453924914676; 'f1-score': 0.6389158935132812; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],296,96.617249,0.649147,4,[X0 >= 43.500000 OR X1 == 1 OR X1 == 2 OR X3 == 10],{'0': {'precision': 0.8271301719251842; 'recall': 0.6559129045145825; 'f1-score': 0.7316380246776035; 'support': 20024}; '1': {'precision': 0.3435594512195122; 'recall': 0.5677846008502598; 'f1-score': 0.42808808689974476; 'support': 6351}; 'accuracy': 0.6346919431279621; 'macro avg': {'precision': 0.5853448115723482; 'recall': 0.6118487526824212; 'f1-score': 0.5798630557886741; 'support': 26375}; 'weighted avg': {'precision': 0.7106881758227492; 'recall': 0.6346919431279621; 'f1-score': 0.6585443505609332; 'support': 26375}},{'0': {'precision': 0.8311184939091916; 'recall': 0.674910071942446; 'f1-score': 0.7449131513647642; 'support': 2224}; '1': {'precision': 0.3567615658362989; 'recall': 0.5679886685552408; 'f1-score': 0.4382513661202186; 'support': 706}; 'accuracy': 0.6491467576791808; 'macro avg': {'precision': 0.5939400298727453; 'recall': 0.6214493702488434; 'f1-score': 0.5915822587424914; 'support': 2930}; 'weighted avg': {'precision': 0.716819520796747; 'recall': 0.6491467576791808; 'f1-score': 0.6710212672751229; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.697519 (+- 0.060308), (mean training time) 153.958004 (+- 142.074530)
