l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,601.374477,0.712385,3,[X1 == 1 OR X3 == 10 OR X6 == 7],{'0': {'precision': 0.7630243572395129; 'recall': 0.9011636617889427; 'f1-score': 0.8263607428270479; 'support': 20023}; '1': {'precision': 0.2740278796771827; 'recall': 0.11761927255550307; 'f1-score': 0.16459182549300427; 'support': 6351}; 'accuracy': 0.7124819898384773; 'macro avg': {'precision': 0.5185261184583478; 'recall': 0.5093914671722228; 'f1-score': 0.4954762841600261; 'support': 26374}; 'weighted avg': {'precision': 0.6452713948902917; 'recall': 0.7124819898384773; 'f1-score': 0.6670032546193998; 'support': 26374}},{'0': {'precision': 0.7639419404125286; 'recall': 0.898876404494382; 'f1-score': 0.8259343382201114; 'support': 2225}; '1': {'precision': 0.28115015974440893; 'recall': 0.12464589235127478; 'f1-score': 0.17271835132482827; 'support': 706}; 'accuracy': 0.7123848515864892; 'macro avg': {'precision': 0.5225460500784688; 'recall': 0.5117611484228284; 'f1-score': 0.49932634477246984; 'support': 2931}; 'weighted avg': {'precision': 0.6476502320700882; 'recall': 0.7123848515864892; 'f1-score': 0.6685919681252395; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],296,108.944516,0.757079,3,[X3 == 2 OR X3 == 14 OR X13 == 20],{'0': {'precision': 0.7661742231278655; 'recall': 0.9764770513909005; 'f1-score': 0.8586359843660797; 'support': 20023}; '1': {'precision': 0.44912280701754387; 'recall': 0.06046291922531885; 'f1-score': 0.10657785179017487; 'support': 6351}; 'accuracy': 0.755895958140593; 'macro avg': {'precision': 0.6076485150727047; 'recall': 0.5184699853081096; 'f1-score': 0.4826069180781273; 'support': 26374}; 'weighted avg': {'precision': 0.6898265495206519; 'recall': 0.755895958140593; 'f1-score': 0.6775363711109962; 'support': 26374}},{'0': {'precision': 0.7670314154606425; 'recall': 0.976629213483146; 'f1-score': 0.8592328983788059; 'support': 2225}; '1': {'precision': 0.46938775510204084; 'recall': 0.06515580736543909; 'f1-score': 0.1144278606965174; 'support': 706}; 'accuracy': 0.757079495052883; 'macro avg': {'precision': 0.6182095852813416; 'recall': 0.5208925104242925; 'f1-score': 0.4868303795376617; 'support': 2931}; 'weighted avg': {'precision': 0.6953369684414774; 'recall': 0.757079495052883; 'f1-score': 0.6798291601994488; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],296,107.531632,0.672467,3,[X3 == 14 OR X5 == 2 OR X6 == 10],{'0': {'precision': 0.9503303351110404; 'recall': 0.5962642960595316; 'f1-score': 0.7327686736635365; 'support': 20023}; '1': {'precision': 0.41466946636738833; 'recall': 0.9017477562588568; 'f1-score': 0.5680984029362167; 'support': 6351}; 'accuracy': 0.6698263441267915; 'macro avg': {'precision': 0.6824999007392143; 'recall': 0.7490060261591942; 'f1-score': 0.6504335382998766; 'support': 26374}; 'weighted avg': {'precision': 0.8213403382432564; 'recall': 0.6698263441267915; 'f1-score': 0.6931151933651666; 'support': 26374}},{'0': {'precision': 0.9451090781140042; 'recall': 0.6035955056179775; 'f1-score': 0.736697750959956; 'support': 2225}; '1': {'precision': 0.41589403973509936; 'recall': 0.8895184135977338; 'f1-score': 0.5667870036101084; 'support': 706}; 'accuracy': 0.6724667349027635; 'macro avg': {'precision': 0.6805015589245518; 'recall': 0.7465569596078556; 'f1-score': 0.6517423772850321; 'support': 2931}; 'weighted avg': {'precision': 0.8176352408245104; 'recall': 0.6724667349027635; 'f1-score': 0.6957707678043803; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],296,107.279769,0.651655,3,[X1 == 6 OR X5 == 2 OR X6 == 4],{'0': {'precision': 0.951255060728745; 'recall': 0.5867252659441642; 'f1-score': 0.72579001019368; 'support': 20023}; '1': {'precision': 0.4099401026811181; 'recall': 0.9052117776728075; 'f1-score': 0.5643190184049081; 'support': 6351}; 'accuracy': 0.6634185182376583; 'macro avg': {'precision': 0.6805975817049316; 'recall': 0.7459685218084858; 'f1-score': 0.6450545142992941; 'support': 26374}; 'weighted avg': {'precision': 0.8209035289716934; 'recall': 0.6634185182376583; 'f1-score': 0.6869069333433542; 'support': 26374}},{'0': {'precision': 0.9472511144130757; 'recall': 0.5730337078651685; 'f1-score': 0.7140856902828339; 'support': 2225}; '1': {'precision': 0.40063091482649843; 'recall': 0.8994334277620396; 'f1-score': 0.554343081623745; 'support': 706}; 'accuracy': 0.65165472534971; 'macro avg': {'precision': 0.6739410146197871; 'recall': 0.736233567813604; 'f1-score': 0.6342143859532894; 'support': 2931}; 'weighted avg': {'precision': 0.8155848363823274; 'recall': 0.65165472534971; 'f1-score': 0.6756079414894811; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],296,107.477462,0.705902,4,[X1 == 5 OR X1 == 6 OR X3 == 9 OR X3 == 10],{'0': {'precision': 0.8177550809862788; 'recall': 0.7917394995754882; 'f1-score': 0.804537034687508; 'support': 20023}; '1': {'precision': 0.40326273611906127; 'recall': 0.4437096520233034; 'f1-score': 0.4225204288177524; 'support': 6351}; 'accuracy': 0.7079320542958975; 'macro avg': {'precision': 0.61050890855267; 'recall': 0.6177245757993958; 'f1-score': 0.6135287317526302; 'support': 26374}; 'weighted avg': {'precision': 0.7179431115371357; 'recall': 0.7079320542958975; 'f1-score': 0.7125453965636429; 'support': 26374}},{'0': {'precision': 0.8237529691211402; 'recall': 0.7793258426966292; 'f1-score': 0.8009237875288683; 'support': 2225}; '1': {'precision': 0.40556900726392253; 'recall': 0.4745042492917847; 'f1-score': 0.43733681462140994; 'support': 706}; 'accuracy': 0.7059024223814397; 'macro avg': {'precision': 0.6146609881925313; 'recall': 0.626915045994207; 'f1-score': 0.6191303010751391; 'support': 2931}; 'weighted avg': {'precision': 0.7230235671862388; 'recall': 0.7059024223814397; 'f1-score': 0.7133453491553897; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],296,107.248657,0.737884,4,[X0 >= 54.500000 OR X1 == 5 OR X3 == 10 OR X10 >= 7073.500000],{'0': {'precision': 0.8101939901103081; 'recall': 0.851021325475703; 'f1-score': 0.8301059554256486; 'support': 20023}; '1': {'precision': 0.4416994198016096; 'recall': 0.371536523929471; 'f1-score': 0.4035912783240701; 'support': 6352}; 'accuracy': 0.7355450236966825; 'macro avg': {'precision': 0.6259467049559588; 'recall': 0.6112789247025869; 'f1-score': 0.6168486168748594; 'support': 26375}; 'weighted avg': {'precision': 0.721447923357669; 'recall': 0.7355450236966825; 'f1-score': 0.727386667124256; 'support': 26375}},{'0': {'precision': 0.8125268125268126; 'recall': 0.8512359550561798; 'f1-score': 0.8314310798946444; 'support': 2225}; '1': {'precision': 0.44741235392320533; 'recall': 0.3801418439716312; 'f1-score': 0.41104294478527603; 'support': 705}; 'accuracy': 0.7378839590443687; 'macro avg': {'precision': 0.629969583225009; 'recall': 0.6156888995139055; 'f1-score': 0.6212370123399602; 'support': 2930}; 'weighted avg': {'precision': 0.7246750400641698; 'recall': 0.7378839590443687; 'f1-score': 0.7302796685458032; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],296,106.777863,0.708874,1,[X0 >= 54.500000],{'0': {'precision': 0.7660754368205624; 'recall': 0.8693003046496529; 'f1-score': 0.8144300954519933; 'support': 20023}; '1': {'precision': 0.2837985769020252; 'recall': 0.16325566750629722; 'f1-score': 0.20727563461922846; 'support': 6352}; 'accuracy': 0.699260663507109; 'macro avg': {'precision': 0.5249370068612939; 'recall': 0.516277986077975; 'f1-score': 0.5108528650356109; 'support': 26375}; 'weighted avg': {'precision': 0.6499267121114611; 'recall': 0.699260663507109; 'f1-score': 0.6682065832165536; 'support': 26375}},{'0': {'precision': 0.7713607594936709; 'recall': 0.8764044943820225; 'f1-score': 0.820534399326741; 'support': 2225}; '1': {'precision': 0.31592039800995025; 'recall': 0.18014184397163122; 'f1-score': 0.22944896115627825; 'support': 705}; 'accuracy': 0.7088737201365187; 'macro avg': {'precision': 0.5436405787518106; 'recall': 0.5282731691768269; 'f1-score': 0.5249916802415097; 'support': 2930}; 'weighted avg': {'precision': 0.6617752800240384; 'recall': 0.7088737201365187; 'f1-score': 0.6783107700058618; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],296,109.187024,0.711263,3,[X1 == 1 OR X3 == 9 OR X6 == 4],{'0': {'precision': 0.8247347994825356; 'recall': 0.7959846176896569; 'f1-score': 0.8101047067195283; 'support': 20023}; '1': {'precision': 0.4205673758865248; 'recall': 0.46678211586901763; 'f1-score': 0.44247127294433664; 'support': 6352}; 'accuracy': 0.7167014218009479; 'macro avg': {'precision': 0.6226510876845301; 'recall': 0.6313833667793373; 'f1-score': 0.6262879898319325; 'support': 26375}; 'weighted avg': {'precision': 0.7273974923855929; 'recall': 0.7167014218009479; 'f1-score': 0.7215660310289115; 'support': 26375}},{'0': {'precision': 0.8211457848160224; 'recall': 0.7923595505617977; 'f1-score': 0.8064958828911254; 'support': 2225}; '1': {'precision': 0.4099616858237548; 'recall': 0.4553191489361702; 'f1-score': 0.4314516129032258; 'support': 705}; 'accuracy': 0.7112627986348122; 'macro avg': {'precision': 0.6155537353198886; 'recall': 0.623839349748984; 'f1-score': 0.6189737478971756; 'support': 2930}; 'weighted avg': {'precision': 0.7222089964919444; 'recall': 0.7112627986348122; 'f1-score': 0.7162548554708288; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],296,109.438846,0.644710,4,[X0 >= 54.500000 OR X3 == 7 OR X6 == 7 OR X13 == 34],{'0': {'precision': 0.7594362625573003; 'recall': 0.7777167399121054; 'f1-score': 0.7684678016284233; 'support': 20024}; '1': {'precision': 0.2416084511841881; 'recall': 0.22327192568099513; 'f1-score': 0.2320785597381342; 'support': 6351}; 'accuracy': 0.6442085308056872; 'macro avg': {'precision': 0.5005223568707442; 'recall': 0.5004943327965503; 'f1-score': 0.5002731806832788; 'support': 26375}; 'weighted avg': {'precision': 0.6347452889068497; 'recall': 0.6442085308056872; 'f1-score': 0.6393073058845284; 'support': 26375}},{'0': {'precision': 0.760917512130569; 'recall': 0.7756294964028777; 'f1-score': 0.7682030728122912; 'support': 2224}; '1': {'precision': 0.2473604826546003; 'recall': 0.23229461756373937; 'f1-score': 0.239590942293645; 'support': 706}; 'accuracy': 0.6447098976109215; 'macro avg': {'precision': 0.5041389973925847; 'recall': 0.5039620569833085; 'f1-score': 0.5038970075529681; 'support': 2930}; 'weighted avg': {'precision': 0.6371730538336291; 'recall': 0.6447098976109215; 'f1-score': 0.6408310031378325; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],296,100.008266,0.722526,6,[X1 == 2 OR X1 == 5 OR X6 == 10 OR X13 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.8044777535338203; 'recall': 0.8469836196564123; 'f1-score': 0.8251836714834817; 'support': 20024}; '1': {'precision': 0.42112223691668244; 'recall': 0.350968351440718; 'f1-score': 0.38285812435589145; 'support': 6351}; 'accuracy': 0.7275450236966825; 'macro avg': {'precision': 0.6127999952252514; 'recall': 0.5989759855485651; 'f1-score': 0.6040208979196866; 'support': 26375}; 'weighted avg': {'precision': 0.7121671986130452; 'recall': 0.7275450236966825; 'f1-score': 0.7186733567988438; 'support': 26375}},{'0': {'precision': 0.8011096884336321; 'recall': 0.8439748201438849; 'f1-score': 0.8219837968031531; 'support': 2224}; '1': {'precision': 0.4088586030664395; 'recall': 0.33994334277620397; 'f1-score': 0.37122969837587005; 'support': 706}; 'accuracy': 0.7225255972696246; 'macro avg': {'precision': 0.6049841457500358; 'recall': 0.5919590814600444; 'f1-score': 0.5966067475895116; 'support': 2930}; 'weighted avg': {'precision': 0.7065945804919127; 'recall': 0.7225255972696246; 'f1-score': 0.713372058410777; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.702474 (+- 0.034184), (mean training time) 156.526851 (+- 148.304123)
