l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],158,1000.292035,0.754717,7,[X0 >= 45.000000 OR (NOT X1) OR X2 >= 1.400000 OR X2 < 0.800000 OR X4 >= 195.000000 OR X7 >= 7.900000 OR X7 < 5.600000],{'0.0': {'precision': 0.9; 'recall': 0.13432835820895522; 'f1-score': 0.23376623376623376; 'support': 134}; '1.0': {'precision': 0.7410714285714286; 'recall': 0.9940119760479041; 'f1-score': 0.8491048593350384; 'support': 334}; 'accuracy': 0.7478632478632479; 'macro avg': {'precision': 0.8205357142857144; 'recall': 0.5641701671284297; 'f1-score': 0.5414355465506361; 'support': 468}; 'weighted avg': {'precision': 0.7865766178266179; 'recall': 0.7478632478632479; 'f1-score': 0.6729181588516626; 'support': 468}},{'0.0': {'precision': 1.0; 'recall': 0.13333333333333333; 'f1-score': 0.23529411764705882; 'support': 15}; '1.0': {'precision': 0.7450980392156863; 'recall': 1.0; 'f1-score': 0.8539325842696629; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.8725490196078431; 'recall': 0.5666666666666667; 'f1-score': 0.5446133509583608; 'support': 53}; 'weighted avg': {'precision': 0.8172401035886052; 'recall': 0.7547169811320755; 'f1-score': 0.6788462257915674; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],158,1000.488751,0.711538,8,[(NOT X1) OR X2 >= 0.900000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X4 < 150.000000 OR X7 < 6.000000 OR X9 >= 1.060000],{'0.0': {'precision': 0.9375; 'recall': 0.1111111111111111; 'f1-score': 0.19867549668874168; 'support': 135}; '1.0': {'precision': 0.7350993377483444; 'recall': 0.9970059880239521; 'f1-score': 0.8462515883100381; 'support': 334}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.8362996688741722; 'recall': 0.5540585495675316; 'f1-score': 0.5224635424993899; 'support': 469}; 'weighted avg': {'precision': 0.7933596563069233; 'recall': 0.7420042643923241; 'f1-score': 0.6598490885896223; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.7254901960784313; 'recall': 0.9736842105263158; 'f1-score': 0.8314606741573034; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3627450980392157; 'recall': 0.4868421052631579; 'f1-score': 0.4157303370786517; 'support': 52}; 'weighted avg': {'precision': 0.5301659125188537; 'recall': 0.7115384615384616; 'f1-score': 0.6076058772687987; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],158,1000.694670,0.711538,7,[X0 >= 55.000000 OR X4 >= 182.000000 OR X5 >= 35.000000 OR X6 < 19.000000 OR X7 >= 7.100000 OR X8 < 2.700000 OR X9 >= 1.308000],{'0.0': {'precision': 0.8333333333333334; 'recall': 0.11194029850746269; 'f1-score': 0.19736842105263158; 'support': 134}; '1.0': {'precision': 0.7361419068736141; 'recall': 0.991044776119403; 'f1-score': 0.8447837150127226; 'support': 335}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.7847376201034737; 'recall': 0.5514925373134328; 'f1-score': 0.5210760680326771; 'support': 469}; 'weighted avg': {'precision': 0.7639108858621053; 'recall': 0.7398720682302772; 'f1-score': 0.659807916738411; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.972972972972973; 'f1-score': 0.8275862068965518; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.61; 'recall': 0.5198198198198198; 'f1-score': 0.47261663286004063; 'support': 52}; 'weighted avg': {'precision': 0.6565384615384615; 'recall': 0.7115384615384616; 'f1-score': 0.6227960680293337; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],158,1000.844534,0.730769,9,[X0 >= 45.000000 OR (NOT X1) OR X3 >= 0.300000 OR X4 >= 512.600000 OR X5 >= 35.000000 OR X5 < 21.000000 OR X6 < 23.000000 OR X7 >= 7.900000 OR X7 < 5.100000],{'0.0': {'precision': 0.8823529411764706; 'recall': 0.11194029850746269; 'f1-score': 0.19867549668874174; 'support': 134}; '1.0': {'precision': 0.7367256637168141; 'recall': 0.9940298507462687; 'f1-score': 0.8462515883100381; 'support': 335}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.8095393024466424; 'recall': 0.5529850746268657; 'f1-score': 0.52246354249939; 'support': 469}; 'weighted avg': {'precision': 0.7783334572767159; 'recall': 0.7420042643923241; 'f1-score': 0.6612298478468105; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.06666666666666667; 'f1-score': 0.125; 'support': 15}; '1.0': {'precision': 0.7254901960784313; 'recall': 1.0; 'f1-score': 0.8409090909090908; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.8627450980392157; 'recall': 0.5333333333333333; 'f1-score': 0.4829545454545454; 'support': 52}; 'weighted avg': {'precision': 0.8046757164404224; 'recall': 0.7307692307692307; 'f1-score': 0.6343968531468531; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],158,1000.736219,0.711538,9,[X0 >= 66.000000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X6 < 19.000000 OR X7 >= 6.900000 OR X8 < 3.000000 OR X9 >= 1.308000],{'0.0': {'precision': 0.9285714285714286; 'recall': 0.09701492537313433; 'f1-score': 0.17567567567567569; 'support': 134}; '1.0': {'precision': 0.734065934065934; 'recall': 0.9970149253731343; 'f1-score': 0.8455696202531645; 'support': 335}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.8313186813186813; 'recall': 0.5470149253731343; 'f1-score': 0.5106226479644201; 'support': 469}; 'weighted avg': {'precision': 0.7896389324960753; 'recall': 0.7398720682302772; 'f1-score': 0.654171350373882; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],158,1000.404673,0.711538,11,[X0 >= 66.000000 OR X0 < 40.000000 OR (NOT X1) OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X5 >= 43.000000 OR X5 < 18.000000 OR X6 >= 71.600000 OR X7 >= 7.100000 OR X9 >= 1.308000],{'0.0': {'precision': 0.85; 'recall': 0.12686567164179105; 'f1-score': 0.22077922077922077; 'support': 134}; '1.0': {'precision': 0.7394209354120267; 'recall': 0.991044776119403; 'f1-score': 0.846938775510204; 'support': 335}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.7947104677060133; 'recall': 0.558955223880597; 'f1-score': 0.5338589981447124; 'support': 469}; 'weighted avg': {'precision': 0.7710149538657333; 'recall': 0.744136460554371; 'f1-score': 0.668036045587066; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.972972972972973; 'f1-score': 0.8275862068965518; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.61; 'recall': 0.5198198198198198; 'f1-score': 0.47261663286004063; 'support': 52}; 'weighted avg': {'precision': 0.6565384615384615; 'recall': 0.7115384615384616; 'f1-score': 0.6227960680293337; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],158,1000.500934,0.692308,9,[X0 >= 66.000000 OR (NOT X1) OR X2 < 0.700000 OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 182.000000 OR X5 >= 35.000000 OR X6 >= 54.000000 OR X8 < 2.700000],{'0.0': {'precision': 0.875; 'recall': 0.15671641791044777; 'f1-score': 0.26582278481012656; 'support': 134}; '1.0': {'precision': 0.7460674157303371; 'recall': 0.991044776119403; 'f1-score': 0.8512820512820513; 'support': 335}; 'accuracy': 0.7526652452025586; 'macro avg': {'precision': 0.8105337078651685; 'recall': 0.5738805970149254; 'f1-score': 0.5585524180460889; 'support': 469}; 'weighted avg': {'precision': 0.7829052969502408; 'recall': 0.7526652452025586; 'f1-score': 0.6840079751472157; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.723404255319149; 'recall': 0.918918918918919; 'f1-score': 0.8095238095238095; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5617021276595745; 'recall': 0.5261261261261262; 'f1-score': 0.5047619047619047; 'support': 52}; 'weighted avg': {'precision': 0.6301145662847791; 'recall': 0.6923076923076923; 'f1-score': 0.6336996336996337; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],158,1000.420274,0.692308,8,[X0 >= 66.000000 OR X0 < 55.000000 OR X2 < 0.700000 OR X3 >= 1.000000 OR X4 >= 282.000000 OR X5 >= 43.000000 OR X6 >= 54.000000 OR X7 >= 6.600000],{'0.0': {'precision': 0.9375; 'recall': 0.11194029850746269; 'f1-score': 0.2; 'support': 134}; '1.0': {'precision': 0.7373068432671082; 'recall': 0.9970149253731343; 'f1-score': 0.847715736040609; 'support': 335}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.8374034216335541; 'recall': 0.5544776119402985; 'f1-score': 0.5238578680203045; 'support': 469}; 'weighted avg': {'precision': 0.7945048880479344; 'recall': 0.744136460554371; 'f1-score': 0.6626540971718636; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],158,1001.243719,0.769231,8,[X0 >= 49.000000 OR (NOT X1) OR X2 < 0.700000 OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 >= 35.000000 OR X7 < 6.000000],{'0.0': {'precision': 0.9090909090909091; 'recall': 0.14925373134328357; 'f1-score': 0.2564102564102564; 'support': 134}; '1.0': {'precision': 0.7449664429530202; 'recall': 0.9940298507462687; 'f1-score': 0.8516624040920716; 'support': 335}; 'accuracy': 0.7526652452025586; 'macro avg': {'precision': 0.8270286760219646; 'recall': 0.5716417910447762; 'f1-score': 0.5540363302511639; 'support': 469}; 'weighted avg': {'precision': 0.7918591475638456; 'recall': 0.7526652452025586; 'f1-score': 0.6815903618972673; 'support': 469}},{'0.0': {'precision': 0.8; 'recall': 0.26666666666666666; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.7659574468085106; 'recall': 0.972972972972973; 'f1-score': 0.8571428571428571; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7829787234042553; 'recall': 0.6198198198198198; 'f1-score': 0.6285714285714286; 'support': 52}; 'weighted avg': {'precision': 0.7757774140752863; 'recall': 0.7692307692307693; 'f1-score': 0.7252747252747251; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],158,1000.916353,0.692308,12,[X0 >= 66.000000 OR X0 < 35.000000 OR (NOT X1) OR X2 >= 2.000000 OR X2 < 0.800000 OR X5 >= 53.600000 OR X5 < 18.000000 OR X6 >= 54.000000 OR X7 >= 7.100000 OR X7 < 6.000000 OR X8 >= 4.100000 OR X9 < 0.700000],{'0.0': {'precision': 0.8421052631578947; 'recall': 0.11940298507462686; 'f1-score': 0.20915032679738563; 'support': 134}; '1.0': {'precision': 0.7377777777777778; 'recall': 0.991044776119403; 'f1-score': 0.8458598726114651; 'support': 335}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.7899415204678362; 'recall': 0.5552238805970149; 'f1-score': 0.5275050997044254; 'support': 469}; 'weighted avg': {'precision': 0.7675856307435255; 'recall': 0.7420042643923241; 'f1-score': 0.6639428595217282; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.717779 (+- 0.025065), (mean training time) 1000.654216 (+- 0.275656)
