l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,283,32,1,[283; 283],564,692.023699,0.781250,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9661016949152542; 'recall': 0.5588235294117647; 'f1-score': 0.7080745341614907; 'support': 102}; '1.0': {'precision': 0.7991071428571429; 'recall': 0.988950276243094; 'f1-score': 0.8839506172839506; 'support': 181}; 'accuracy': 0.833922261484099; 'macro avg': {'precision': 0.8826044188861986; 'recall': 0.7738869028274293; 'f1-score': 0.7960125757227207; 'support': 283}; 'weighted avg': {'precision': 0.8592959920088297; 'recall': 0.833922261484099; 'f1-score': 0.8205606509288591; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
l: 5,1,CNF,1,283,32,1,[283; 283],564,690.351291,0.750000,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9666666666666667; 'recall': 0.5686274509803921; 'f1-score': 0.7160493827160493; 'support': 102}; '1.0': {'precision': 0.8026905829596412; 'recall': 0.988950276243094; 'f1-score': 0.8861386138613861; 'support': 181}; 'accuracy': 0.8374558303886925; 'macro avg': {'precision': 0.884678624813154; 'recall': 0.778788863611743; 'f1-score': 0.8010939982887177; 'support': 283}; 'weighted avg': {'precision': 0.8617915035890285; 'recall': 0.8374558303886925; 'f1-score': 0.8248343680068831; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
l: 5,1,CNF,2,283,32,1,[283; 283],564,759.933439,0.906250,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9629629629629629; 'recall': 0.5148514851485149; 'f1-score': 0.6709677419354839; 'support': 101}; '1.0': {'precision': 0.7860262008733624; 'recall': 0.989010989010989; 'f1-score': 0.875912408759124; 'support': 182}; 'accuracy': 0.8197879858657244; 'macro avg': {'precision': 0.8744945819181627; 'recall': 0.751931237079752; 'f1-score': 0.773440075347304; 'support': 283}; 'weighted avg': {'precision': 0.8491732431738911; 'recall': 0.8197879858657244; 'f1-score': 0.8027696124722419; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.75; 'f1-score': 0.8571428571428571; 'support': 12}; '1.0': {'precision': 0.8695652173913043; 'recall': 1.0; 'f1-score': 0.9302325581395349; 'support': 20}; 'accuracy': 0.90625; 'macro avg': {'precision': 0.9347826086956521; 'recall': 0.875; 'f1-score': 0.893687707641196; 'support': 32}; 'weighted avg': {'precision': 0.9184782608695652; 'recall': 0.90625; 'f1-score': 0.9028239202657807; 'support': 32}}
l: 5,1,CNF,3,283,32,1,[283; 283],564,483.533345,0.781250,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9655172413793104; 'recall': 0.5544554455445545; 'f1-score': 0.7044025157232705; 'support': 101}; '1.0': {'precision': 0.8; 'recall': 0.989010989010989; 'f1-score': 0.8845208845208845; 'support': 182}; 'accuracy': 0.833922261484099; 'macro avg': {'precision': 0.8827586206896552; 'recall': 0.7717332172777718; 'f1-score': 0.7944617001220775; 'support': 283}; 'weighted avg': {'precision': 0.8590715243085171; 'recall': 0.833922261484099; 'f1-score': 0.8202383571408173; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.4166666666666667; 'f1-score': 0.5882352941176471; 'support': 12}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.7083333333333334; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.8379629629629629; 'recall': 0.78125; 'f1-score': 0.7525031289111389; 'support': 32}}
l: 5,1,CNF,4,283,32,1,[283; 283],564,563.557180,0.843750,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9642857142857143; 'recall': 0.5346534653465347; 'f1-score': 0.6878980891719746; 'support': 101}; '1.0': {'precision': 0.7929515418502202; 'recall': 0.989010989010989; 'f1-score': 0.8801955990220048; 'support': 182}; 'accuracy': 0.8268551236749117; 'macro avg': {'precision': 0.8786186280679673; 'recall': 0.7618322271787619; 'f1-score': 0.7840468440969897; 'support': 283}; 'weighted avg': {'precision': 0.8540990733554672; 'recall': 0.8268551236749117; 'f1-score': 0.8115664523970824; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.5833333333333334; 'f1-score': 0.7368421052631579; 'support': 12}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9; 'recall': 0.7916666666666667; 'f1-score': 0.8128654970760234; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.84375; 'f1-score': 0.8318713450292398; 'support': 32}}
l: 5,1,CNF,5,284,31,1,[284; 284],564,615.967769,0.806452,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9821428571428571; 'recall': 0.5392156862745098; 'f1-score': 0.6962025316455696; 'support': 102}; '1.0': {'precision': 0.793859649122807; 'recall': 0.9945054945054945; 'f1-score': 0.8829268292682927; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.8880012531328321; 'recall': 0.7668605903900021; 'f1-score': 0.7895646804569312; 'support': 284}; 'weighted avg': {'precision': 0.8614824914398672; 'recall': 0.8309859154929577; 'f1-score': 0.8158638773052019; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8244047619047619; 'recall': 0.7477272727272727; 'f1-score': 0.765151515151515; 'support': 31}; 'weighted avg': {'precision': 0.8149001536098309; 'recall': 0.8064516129032258; 'f1-score': 0.7937438905180839; 'support': 31}}
l: 5,1,CNF,6,284,31,1,[284; 284],564,296.867046,0.806452,1,[X26 < 1.000000],{'0.0': {'precision': 0.8472222222222222; 'recall': 0.5980392156862745; 'f1-score': 0.7011494252873564; 'support': 102}; '1.0': {'precision': 0.8066037735849056; 'recall': 0.9395604395604396; 'f1-score': 0.868020304568528; 'support': 182}; 'accuracy': 0.8169014084507042; 'macro avg': {'precision': 0.8269129979035639; 'recall': 0.768799827623357; 'f1-score': 0.7845848649279421; 'support': 284}; 'weighted avg': {'precision': 0.821192089644787; 'recall': 0.8169014084507042; 'f1-score': 0.8080878056717692; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8244047619047619; 'recall': 0.7477272727272727; 'f1-score': 0.765151515151515; 'support': 31}; 'weighted avg': {'precision': 0.8149001536098309; 'recall': 0.8064516129032258; 'f1-score': 0.7937438905180839; 'support': 31}}
l: 5,1,CNF,7,284,31,1,[284; 284],564,217.187048,0.838710,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9649122807017544; 'recall': 0.5392156862745098; 'f1-score': 0.6918238993710691; 'support': 102}; '1.0': {'precision': 0.7929515418502202; 'recall': 0.989010989010989; 'f1-score': 0.8801955990220048; 'support': 182}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.8789319112759872; 'recall': 0.7641133376427494; 'f1-score': 0.786009749196537; 'support': 284}; 'weighted avg': {'precision': 0.8547120889025318; 'recall': 0.8274647887323944; 'f1-score': 0.8125409744994856; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
l: 5,1,CNF,8,284,31,1,[284; 284],564,688.768094,0.870968,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9642857142857143; 'recall': 0.5294117647058824; 'f1-score': 0.6835443037974683; 'support': 102}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.989010989010989; 'f1-score': 0.8780487804878049; 'support': 182}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8768796992481203; 'recall': 0.7592113768584356; 'f1-score': 0.7807965421426366; 'support': 284}; 'weighted avg': {'precision': 0.8522582865614741; 'recall': 0.823943661971831; 'f1-score': 0.8081915388595854; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
l: 5,1,CNF,9,284,31,1,[284; 284],564,182.455166,0.774194,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9824561403508771; 'recall': 0.5490196078431373; 'f1-score': 0.7044025157232705; 'support': 102}; '1.0': {'precision': 0.7973568281938326; 'recall': 0.9945054945054945; 'f1-score': 0.8850855745721271; 'support': 182}; 'accuracy': 0.8345070422535211; 'macro avg': {'precision': 0.8899064842723549; 'recall': 0.7717625511743159; 'f1-score': 0.7947440451476988; 'support': 284}; 'weighted avg': {'precision': 0.863836158616433; 'recall': 0.8345070422535211; 'f1-score': 0.8201923632954251; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7966666666666666; 'recall': 0.7022727272727273; 'f1-score': 0.7163398692810458; 'support': 31}; 'weighted avg': {'precision': 0.7860215053763441; 'recall': 0.7741935483870968; 'f1-score': 0.7535315201349357; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [284, 284], 'n_partitions': 1}, (mean val acc cv) 0.815927 (+- 0.045993), (mean training time) 519.064408 (+- 203.103682)
